food_name,calories,Protein,Fat,Carbohydrate,Category (Vegan/Non Vegan)
Abon Sapi,158,,,,
Acar Kuning,53,,,,
Alpukat,85,,,,
Anggur,60,,,,
Apel,92,,,,
Apel Merah,82,,,,
Arem-arem,225,,,,
Arsik,94.05,,,,
Asinan,208,,,,
Asop Oyong Misoa,106,,,,
Ayam Bakar Bumbu Kuning,129.4,,,,
Ayam Goreng Kecap,358.8,,,,
Ayam Kentucky Paha Atas,194.5,,,,
Ayam Kentucky Sayap,116,,,,
Ayam Panggang,164.3,,,,
Ayam Panggang,385.6,,,,
Ayam Pop,265,,,,
Bakpia,68,,,,
Bakso Daging Sapi,260,,,,
Bakwan,270,,,,
Belimbing,80,,,,
Bening Bayam,18,,,,
Bihun Goreng,296,,,,
Bika Ambon,99,,,,
Black Forrest,585,,,,
Bolu Gulung,300,,,,
Bubur,44,,,,
Bubur Ayam,165,,,,
Bubur Kacang Ijo,102,,,,
Bubur Sum-Sum,178,,,,
Buntil,106,,,,
Cah Jagung Putren,59,,,,
Cah Kacang Panjang,72,,,,
Cah Labu Siam,41.6,,,,
Cakwee,143,,,,
Cara Bikang,128,,,,
Cheese Cake,281,,,,
Crakers,229,,,,
Daging Balado,147,,,,
Daging Cincang Bulat,168,,,,
Daging Panggang,150,,,,
Dendeng Balado,338,,,,
Duku,81,,,,
Dunkin Donat Keju,283,,,,
Durian Montong,134,,,,
Empal Daging,147,,,,
Emping Melinjo Asin,173,,,,
Gado - Gado,295,,,,
Getuk Lindri,127,,,,
Gudeg,132,,,,
Gulai Ayam,165.3,,,,
Gulai Cumi,183,,,,
Gulai Kepala Ikan Kakap,218.8,,,,
Gulai Limpa,294,,,,
Gulai Tunjang,251,,,,
Hamburger,257,,,,
Hati Ayam Goreng,98,,,,
Hot Dog,285,,,,
Ikan Bandeng Goreng,180.7,,,,
Ikan Baronang Goreng,107.5,,,,
Ikan Bawal Goreng,113.3,,,,
Ikan Ekor Goreng,107.8,,,,
Ikan Kembung Balado,236.7,,,,
Ikan Kembung Goreng,87.65,,,,
Ikan Lele Goreng,57.5,,,,
Ikan Mas Pepes,143.5,,,,
Ikan Patin Goreng,252.7,,,,
Ikan Selar Goreng,63.75,,,,
Ikan Tenggiri Goreng,85.3,,,,
Ikan Teri,213,,,,
Ikan Teri Goreng,66,,,,
Ikan Tuna Goreng,110,,,,
Jagung Rebus,90.2,,,,
Jambu Air,35.4,,,,
Jambu Biji,157,,,,
Jeruk Medan,46,,,,
Jeruk Pontianak,67,,,,
Jeruk Sunkist,40,,,,
Kakap Goreng Tepung,119,,,,
Kakap Panir,220,,,,
Kastengels (10 bh),426,,,,
Keju Lembaran (1bh),65,,,,
Kentang Goreng,211,,,,
Kentang Rebus,166,,,,
Kerak Telur,599,,,,
Kerang Rebus,59,,,,
Keripik Tempe,68,,,,
Kerupuk Mie,119,,,,
Kerupuk Palembang,168,,,,
Kerupuk Udang,72,,,,
Ketan Putih,217,,,,
Ketoprak,153,,,,
Ketupat,32,,,,
Ketupat Ketan,216,,,,
Klepon,68,,,,
Kroket Kentang,146,,,,
Kue Ape,151,,,,
Kue Cubit,183,,,,
Kue Cucur,152,,,,
Kue Ku,237,,,,
Kue Lumpur,232,,,,
Kue Nagasari,149,,,,
Kue Pancong,231,,,,
Kue Pukis,181,,,,
Lapis Legit,307,,,,
Lemet/Timus,603,,,,
Lemper,247,,,,
Lengkeng,79,,,,
Lepet,210,,,,
Lepet Ketan,346,,,,
Lontong,38,,,,
Lopis Ketan,350,,,,
Lumpia,76,,,,
Macaroni Schootel,177,,,,
Makaroni,91,,,,
Mangga Harum Manis,90,,,,
Mangga Manalagi,72,,,,
Martabak Keju,265,,,,
Martabak Mesir,200,,,,
Martabak Telur,196,,,,
Melon,46,,,,
Mie Bakso,302,,,,
Mie Goreng,321,,,,
Mie Instant,168,,,,
Mini Croissant,406,,,,
Muffin Coklat,361,,,,
Muffin Keju,400,,,,
Nanas,104,,,,
Nasi Goreng,267,,,,
Nasi Putih,175,,,,
Nasi Putih Kentucky,349,,,,
Nasi Tim,88,,,,
Nasi Tim Ayam,588,,,,
Nasi Uduk,506,,,,
Nastar (7bh),538,,,,
Onde-onde,317,,,,
Pastel,302,,,,
Pempek,384,,,,
Pepaya,46,,,,
Perkedel Jagung,108,,,,
Perkedel Kentang,123,,,,
Pir,80,,,,
Pir Hijau,105,,,,
Pisang Ambon,74.2,,,,
Pisang Barangan,236,,,,
Pisang Mas,120,,,,
Pisang Raja,126,,,,
Pisang Rebus,136.5,,,,
Pizza,163,,,,
Potato Chip,298,,,,
Pu Yung Hai,114,,,,
Putu Mayang,98,,,,
Rambutan,69,,,,
Rawon,331,,,,
Rempeyek Kacang,250,,,,
Rendang Daging,285.5,,,,
Risol,247,,,,
Roti Coklat,240,,,,
Roti Tawar,128,,,,
Roti Tawar Serat Tinggi,149,,,,
Salak,63.6,,,,
Sambal Goreng Ati + Kentang,127,,,,
Sambal Goreng Ati Sapi,200,,,,
Sambal Goreng Tempe,116,,,,
Sambal Goreng Tempe Teri,276,,,,
Sambal Goreng Udang + Kentang,123,,,,
Sandwich,164,,,,
Sate Ayam,466,,,,
Sate Kambing,729,,,,
Sawo,92,,,,
Sayap Ayam,63.6,,,,
Sayur Asam,88,,,,
Sayur Krecek,249,,,,
Sayur Lodeh,61,,,,
Semangka,48,,,,
Semar Mendem,247,,,,
Semur Ayam,177.8,,,,
Serabi Pandan,137,,,,
Setup Kentang Buncis,95,,,,
Singkong Rebus,146,,,,
Siomay,361,,,,
Sirsak,55,,,,
Sop Ayam Kombinasi,95,,,,
Sop Bayam,78,,,,
Sop Kimlo,104,,,,
Sop Mutiara Jagung,113,,,,
Sop Oyong Telur Puyuh,134,,,,
Sop Sapi,227,,,,
Sop Telur Puyuh,116,,,,
Sosis Solo,191,,,,
Soto Ayam,101,,,,
Soto Betawi,135,,,,
Soto Makassar,525,,,,
Soto Padang,127,,,,
Soto Sulung,86,,,,
Soun Goreng,263,,,,
Spaghetti,642,,,,
Sus Vla,129,,,,
Tahu Bacem,147,,,,
Tahu Goreng,111,,,,
Tahu Isi,124,,,,
Tahu Sumedang,113,,,,
Talam Hijau,292,,,,
Talas Rebus,98,,,,
Tape Singkong,260,,,,
Tauge Goreng,243,,,,
Telur Asin Rebus,138,,,,
Telur Ayam Rebus,97,,,,
Telur Dadar,188,,,,
Telur Mata Sapi,40,,,,
Tempe Bacem,157,,,,
Tempe Goreng,118,,,,
Tenggiri Bumbu Kuning,94.4,,,,
Tongseng,331,,,,
Tumis Buncis,52,,,,
Tumis Daun Singkong,151,,,,
Tumis Kacang Panjang + Jagung,118,,,,
Ubi Rebus,125,,,,
Udang Goreng Besar,68.25,,,,
Udang Rebus,91,,,,
Uli + Tape Ketan,559,,,,
