food_name,calories,Protein,Fat,Carbohydrate,Category (Vegan/Non Vegan)
Jagung Rebus,90.2,,,,
Kentang Rebus,166,,,,
Ketan Putih,217,,,,
Ketupat,32,,,,
Lontong,38,,,,
Nasi Putih,175,,,,
Nasi Putih Kentucky,349,,,,
Roti Tawar Serat Tinggi,149,,,,
Singkong Rebus,146,,,,
Talas Rebus,98,,,,
Ubi Rebus,125,,,,
Bubur,44,,,,
Crakers,229,,,,
Makaroni,91,,,,
Mie Instant,168,,,,
Nasi Tim,88,,,,
Nasi Uduk,506,,,,
Roti Tawar,128,,,,
Bihun Goreng,296,,,,
Bubur Ayam,165,,,,
Bubur Sum-Sum,178,,,,
Kentang Goreng,211,,,,
Mie Goreng,321,,,,
Nasi Goreng,267,,,,
Soun Goreng,263,,,,
Spaghetti,642,,,,
Tape Singkong,260,,,,
Arsik,94.05,,,,
Ayam Bakar Bumbu Kuning,129.4,,,,
Ayam Panggang,164.3,,,,
Daging Panggang,150,,,,
Ikan Mas Pepes,143.5,,,,
Sambal Goreng Tempe,116,,,,
Telur Asin Rebus,138,,,,
Telur Ayam Rebus,97,,,,
Udang Rebus,91,,,,
Hati Ayam Goreng,98,,,,
Ayam Pop,265,,,,
Bakso Daging Sapi,260,,,,
Empal Daging,147,,,,
Ikan Bandeng Goreng,180.7,,,,
Ikan Baronang Goreng,107.5,,,,
Ikan Bawal Goreng,113.3,,,,
Ikan Ekor Goreng,107.8,,,,
Ikan Kembung Goreng,87.65,,,,
Ikan Lele Goreng,57.5,,,,
Ikan Patin Goreng,252.7,,,,
Ikan Selar Goreng,63.75,,,,
Ikan Tenggiri Goreng,85.3,,,,
Ikan Teri Goreng,66,,,,
Ikan Tuna Goreng,110,,,,
Kerang Rebus,59,,,,
Macaroni Schootel,177,,,,
Tahu Bacem,147,,,,
Telur Mata Sapi,40,,,,
Tempe Bacem,157,,,,
Tempe Goreng,118,,,,
Tenggiri Bumbu Kuning,94.4,,,,
Udang Goreng Besar,68.25,,,,
Abon Sapi,158,,,,
Ayam Goreng Kecap,358.8,,,,
Ayam Panggang,385.6,,,,
Sayap Ayam,63.6,,,,
Daging Balado,147,,,,
Dendeng Balado,338,,,,
Gulai Ayam,165.3,,,,
Gulai Cumi,183,,,,
Gulai Kepala Ikan Kakap,218.8,,,,
Gulai Limpa,294,,,,
Gulai Tunjang,251,,,,
Ikan Kembung Balado,236.7,,,,
Ikan Teri,213,,,,
Kakap Goreng Tepung,119,,,,
Kakap Panir,220,,,,
Keripik Tempe,68,,,,
Daging Cincang Bulat,168,,,,
Ayam Kentucky Paha Atas,194.5,,,,
Perkedel Jagung,108,,,,
Perkedel Kentang,123,,,,
Pu Yung Hai,114,,,,
Rendang Daging,285.5,,,,
Sate Ayam,466,,,,
Ayam Kentucky Sayap,116,,,,
Semur Ayam,177.8,,,,
Sambal Goreng Ati + Kentang,127,,,,
Sambal Goreng Tempe Teri,276,,,,
Sambal Goreng Ati Sapi,200,,,,
Sambal Goreng Udang + Kentang,123,,,,
Sop Sapi,227,,,,
Tahu Goreng,111,,,,
Tahu Isi,124,,,,
Tahu Sumedang,113,,,,
Telur Dadar,188,,,,
Acar Kuning,53,,,,
Bening Bayam,18,,,,
Cah Labu Siam,41.6,,,,
Sayur Asam,88,,,,
Sop Ayam Kombinasi,95,,,,
Sop Bayam,78,,,,
Sop Kimlo,104,,,,
Sop Mutiara Jagung,113,,,,
Asop Oyong Misoa,106,,,,
Sop Telur Puyuh,116,,,,
Sayur Lodeh,61,,,,
Cah Jagung Putren,59,,,,
Cah Kacang Panjang,72,,,,
Sop Oyong Telur Puyuh,134,,,,
Setup Kentang Buncis,95,,,,
Tumis Buncis,52,,,,
Tumis Daun Singkong,151,,,,
Tumis Kacang Panjang + Jagung,118,,,,
Buntil,106,,,,
Gudeg,132,,,,
Apel,92,,,,
Apel Merah,82,,,,
Belimbing,80,,,,
Duku,81,,,,
Jambu Air,35.4,,,,
Jambu Biji,157,,,,
Jeruk Medan,46,,,,
Jeruk Pontianak,67,,,,
Jeruk Sunkist,40,,,,
Mangga Manalagi,72,,,,
Nanas,104,,,,
Pepaya,46,,,,
Pir,80,,,,
Pisang Rebus,136.5,,,,
Salak,63.6,,,,
Semangka,48,,,,
Alpukat,85,,,,
Anggur,60,,,,
Lengkeng,79,,,,
Melon,46,,,,
Mangga Harum Manis,90,,,,
Pir Hijau,105,,,,
Pisang Ambon,74.2,,,,
Pisang Barangan,236,,,,
Pisang Mas,120,,,,
Pisang Raja,126,,,,
Sirsak,55,,,,
Durian Montong,134,,,,
Rambutan,69,,,,
Sawo,92,,,,
Asinan,208,,,,
Tauge Goreng,243,,,,
Gado - Gado,295,,,,
Ketoprak,153,,,,
Pempek,384,,,,
Rawon,331,,,,
Soto Ayam,101,,,,
Soto Padang,127,,,,
Tongseng,331,,,,
Hamburger,257,,,,
Kerupuk Palembang,168,,,,
Kerupuk Udang,72,,,,
Mie Bakso,302,,,,
Nasi Tim Ayam,588,,,,
Pizza,163,,,,
Sate Kambing,729,,,,
Sayur Krecek,249,,,,
Siomay,361,,,,
Soto Betawi,135,,,,
Soto Makassar,525,,,,
Soto Sulung,86,,,,
Arem-arem,225,,,,
Bubur Kacang Ijo,102,,,,
Ketupat Ketan,216,,,,
Lemper,247,,,,
Lepet,210,,,,
Lepet Ketan,346,,,,
Bolu Gulung,300,,,,
Cakwee,143,,,,
Getuk Lindri,127,,,,
Hot Dog,285,,,,
Kerak Telur,599,,,,
Kue Nagasari,149,,,,
Kue Pancong,231,,,,
Mini Croissant,406,,,,
Sandwich,164,,,,
Serabi Pandan,137,,,,
Semar Mendem,247,,,,
Uli + Tape Ketan,559,,,,
Bakpia,68,,,,
Bakwan,270,,,,
Bika Ambon,99,,,,
Black Forrest,585,,,,
Cara Bikang,128,,,,
Cheese Cake,281,,,,
Dunkin Donat Keju,283,,,,
Emping Melinjo Asin,173,,,,
Kastengels (10 bh),426,,,,
Keju Lembaran (1bh),65,,,,
Kerupuk Mie,119,,,,
Klepon,68,,,,
Kroket Kentang,146,,,,
Kue Ape,151,,,,
Kue Cubit,183,,,,
Kue Cucur,152,,,,
Kue Ku,237,,,,
Kue Lumpur,232,,,,
Kue Pukis,181,,,,
Lapis Legit,307,,,,
Lemet/Timus,603,,,,
Lopis Ketan,350,,,,
Lumpia,76,,,,
Martabak Keju,265,,,,
Martabak Mesir,200,,,,
Martabak Telur,196,,,,
Muffin Coklat,361,,,,
Muffin Keju,400,,,,
Nastar (7bh),538,,,,
Onde-onde,317,,,,
Pastel,302,,,,
Potato Chip,298,,,,
Putu Mayang,98,,,,
Rempeyek Kacang,250,,,,
Risol,247,,,,
Roti Coklat,240,,,,
Sosis Solo,191,,,,
Sus Vla,129,,,,
Talam Hijau,292,,,,
