ingredient,cal,protein,fat,carb,fiber,category,,,,,,,,,,,,,
"Beras giling, mentah",357,8.4,1.7,77.1,0.2,vegan,,,,,,,,,,,,,
"Beras giling var pelita,
mentah",369,9.5,1.4,77.1,0.4,vegan,,,,,,,,,,,,,
"Beras giling var
rojolele, mentah",357,8.4,1.7,77.1,0.2,vegan,,,,,,,,,,,,,
"Beras hitam, mentah",351,8.0,1.3,76.9,20.1,vegan,,,,,,,,,,,,,
"Beras jagung kuning, kering, mentah",358,5.5,0.1,82.7,10.0,vegan,,,,,,,,,,,,,
"Beras jagung putih,
kering, mentah",307,4.8,0.1,71.8,10.0,vegan,,,,,,,,,,,,,
"Beras ketan hitam tumbuk, mentah",360,8.0,2.3,74.5,1.0,vegan,,,,,,,,,,,,,
"Beras ketan putih
tumbuk, mentah",361,7.4,0.8,78.4,0.4,vegan,,,,,,,,,,,,,
"Beras ladang, mentah",376,7.5,3.8,78.0,5.9,vegan,,,,,,,,,,,,,
"Beras menir, mentah",362,7.7,4.4,73.0,0.2,vegan,,,,,,,,,,,,,
Beras parboiled,353,6.8,0.6,80.0,0.5,vegan,,,,,,,,,,,,,
"Beras tumbuk, mentah",354,7.8,0.4,79.9,3.8,vegan,,,,,,,,,,,,,
"Beras tumbuk merah,
mentah",352,7.3,0.9,76.2,0.8,vegan,,,,,,,,,,,,,
"Cantel, mentah",366,11.0,3.3,73.0,1.2,vegan,,,,,,,,,,,,,
"Jagung muda, kuning, mentah",147,5.1,0.7,31.5,1.3,vegan,,,,,,,,,,,,,
"Jagung kuning pipil, kering, mentah",366,9.8,7.3,69.1,2.2,vegan,,,,,,,,,,,,,
"Jagung pipil var, harapan, kering",367,6.2,5.1,76.2,2.6,vegan,,,,,,,,,,,,,
"Jagung pipil var,
metro, kering",368,5.5,4.6,78,2.9,vegan,,,,,,,,,,,,,
"Jali, mentah",324,11,4,61,3.1,vegan,,,,,,,,,,,,,
"Jawawut, mentah",364,9.7,3.5,73.4,8.2,vegan,,,,,,,,,,,,,
"Jampang huma,
mentah",350,6.2,1.4,78.2,1.7,vegan,,,,,,,,,,,,,
Nasi,180,3,0.3,39.8,0.2,vegan,,,,,,,,,,,,,
Nasi tim,120,2.4,0.4,26,0.5,vegan,,,,,,,,,,,,,
"Beras, tapai",99,1.7,0.3,22.4,0,vegan,,,,,,,,,,,,,
"Beras, tepung, mentah",353,7,0.5,80,2.4,vegan,,,,,,,,,,,,,
"Beras merah, Nasi",149,2.8,0.4,32.5,0.3,vegan,,,,,,,,,,,,,
"Bihun, mentah",348,4.7,0.1,82.1,1.2,vegan,,,,,,,,,,,,,
Bihun goreng instan,381,6.1,3.9,80.3,0,vegan,,,,,,,,,,,,,
"Bihun Jagung, mentah",354,0.5,0.3,87.4,3,vegan,,,,,,,,,,,,,
"Jagung nasi, mentah",357,8.8,0.5,79.5,6.2,vegan,,,,,,,,,,,,,
"Jagung muda, rebus",142,5,0.7,30.3,0.8,vegan,,,,,,,,,,,,,
"Jagung kuning, tepung",355,9.2,3.9,73.7,7.2,vegan,,,,,,,,,,,,,
"Jagung kuning pipil,
rebus",154,3.8,3.5,28.4,0.7,vegan,,,,,,,,,,,,,
"Jagung, tepung putih",355,9.2,3.9,73.7,7.2,vegan,,,,,,,,,,,,,
"Ketan, ketupat",212,4,4.6,38.6,0.2,vegan,,,,,,,,,,,,,
"Ketan hitam, matang",181,4,1.2,37.3,0.3,vegan,,,,,,,,,,,,,
"Ketan hitam, tapai",166,3.8,1,34.4,0.3,vegan,,,,,,,,,,,,,
"Ketan putih, matang",163,3,0.4,35.7,0.2,vegan,,,,,,,,,,,,,
"Ketan putih, tapai",172,3,0.5,37.5,0.6,vegan,,,,,,,,,,,,,
"Maizena, tepung",341,0.3,0,85,7,vegan,,,,,,,,,,,,,
"Makaroni, mentah",353,8.7,0.4,78.7,4.9,vegan,,,,,,,,,,,,,
Mi basah,88,0.6,3.3,14,0.1,vegan,,,,,,,,,,,,,
Mi kering,339,10,1.7,6.3,0.4,vegan,,,,,,,,,,,,,
Misoa,345,8.5,2.2,78,0.5,vegan,,,,,,,,,,,,,
Roti putih,248,8,1.2,50,9.1,vegan,,,,,,,,,,,,,
Tepung terigu,333,9,1,77.2,0.3,vegan,,,,,,,,,,,,,
Amparan tatak,191,1.3,5.5,34,,vegan,,,,,,,,,,,,,
"Apang kukus, kue",202,3,0.3,46.7,,vegan,,,,,,,,,,,,,
"Apem, kue",148,2,0.5,33.9,,vegan,,,,,,,,,,,,,
Biskuit,458,6.9,14.4,75.1,2.1,vegan,,,,,,,,,,,,,
"Bakpia, kue",272,8.7,6.7,44.1,0.9,vegan,,,,,,,,,,,,,
Bakwan,280,8.2,10.2,39,3.4,vegan,,,,,,,,,,,,,
Bantal,190,3.3,0.3,43.5,3.4,vegan,,,,,,,,,,,,,
Baruasa,417,6.5,8.2,79.3,-,vegan,,,,,,,,,,,,,
Batar daan,107,2.2,2.2,19.6,-,vegan,,,,,,,,,,,,,
Bika ambon,199,2.1,1.5,44.4,0.3,vegan,,,,,,,,,,,,,
Bingka,273,5.3,10.6,39.1,-,vegan,,,,,,,,,,,,,
Bobengka,225,5.3,2.6,45.2,-,vegan,,,,,,,,,,,,,
Bolu peca,197,3.3,4.6,35.6,-,vegan,,,,,,,,,,,,,
Brem,249,3.4,0.4,58,0,vegan,,,,,,,,,,,,,
"Bubur tinotuan
(Manado)",156,2.3,0.2,15.6,8.2,vegan,,,,,,,,,,,,,
Cake tape,323,4.9,11.5,50.1,1.4,vegan,,,,,,,,,,,,,
Cangkuning,204,2.8,7.5,31.4,-,vegan,,,,,,,,,,,,,
Dodol bali,298,3.7,2.1,65.9,0.4,vegan,,,,,,,,,,,,,
Dodol galamai,348,0.4,3.8,76.1,0.5,vegan,,,,,,,,,,,,,
Dodol kedondong,331,1.9,7.6,63.8,1,vegan,,,,,,,,,,,,,
Dodol manado,373,4.3,16.5,51.9,0.4,vegan,,,,,,,,,,,,,
Emping beras,403,10.6,2.2,85.3,0.2,vegan,,,,,,,,,,,,,
Gemblong,274,1.7,5.4,55.5,2.2,vegan,,,,,,,,,,,,,
Gendar goreng,407,6.4,28.2,32,0.1,vegan,,,,,,,,,,,,,
Intip goreng,474,7.6,21.6,62.3,1.2,vegan,,,,,,,,,,,,,
Jagung gerontol,156,2.7,1.3,33.3,1,vegan,,,,,,,,,,,,,
Jagung titi,374,9.4,2.2,79.1,0.8,vegan,,,,,,,,,,,,,
Japilus,500,1.2,25.1,67.3,0.4,non-vegan,,,,,,,,,,,,,
Kakicak,296,3.4,15.1,36.7,-,non-vegan,,,,,,,,,,,,,
Kambose,164,3,2.4,32.6,4.3,non-vegan,,,,,,,,,,,,,
Kapusa,158,4.4,3.2,27.8,5.3,non-vegan,,,,,,,,,,,,,
Keddo bodong,290,4.6,5.7,55.2,-,non-vegan,,,,,,,,,,,,,
"Kelepon, kue",215,3.7,3.7,41.8,1,vegan,,,,,,,,,,,,,
Kereput,580,4.8,39.6,51.1,-,non-vegan,,,,,,,,,,,,,
Ketoprak,153,7.9,7.7,13,2.9,vegan,,,,,,,,,,,,,
Ketupat kandangan,109,2.2,5.2,13.4,-,vegan,,,,,,,,,,,,,
