data,label,angle
"[0.28061217 0.53466886 0.5707864  0.26465243 0.52023864 0.6935771
 0.26773113 0.508921   0.75216836 0.2834315  0.48760003 0.73673505
 0.29732162 0.4597166  0.7458322  0.35323593 0.5666784  0.75240505
 0.39424068 0.44528216 0.80523837 0.3965983  0.69175696 0.5730957
 0.4629364  0.567152   0.6914348  0.39831597 0.809583   0.70051044
 0.46573868 0.74200785 0.5600818  0.6132169  0.5818941  0.79890645
 0.6456249  0.51769346 0.9131977  0.4582362  0.74890614 0.5470471
 0.5015497  0.68508303 0.66530216 0.6556665  0.9036988  0.8188083
 0.7187031  0.8415636  0.59323645]",situp,"94.94265365600586,94.76234817504884,114.65008163452148,129.51063919067383,28.490966796875,18.2852783203125"
"[0.3657635  0.24923955 0.54567796 0.3520516  0.23661521 0.69660074
 0.3475651  0.24377412 0.61397946 0.32899147 0.24999152 0.71182495
 0.31576496 0.2636398  0.6725981  0.3549356  0.2970703  0.6995996
 0.304201   0.36028546 0.6548333  0.5595944  0.33111835 0.8759964
 0.48465252 0.4119517  0.4935854  0.73152626 0.3414098  0.84605694
 0.64149976 0.4296825  0.8656854  0.44979903 0.4809818  0.47401863
 0.42309058 0.5192364  0.7916832  0.57475275 0.6500669  0.787856
 0.5488455  0.66244495 0.7461809  0.66192293 0.82599294 0.61205524
 0.6390454  0.82587934 0.6591203 ]",pushup,"12.392730712890623,10.10626220703125,4.491996765136719,9.179214477539062,9.52766227722168,6.01999044418335"
"[0.50792116 0.7084065  0.62425554 0.5026107  0.7320492  0.5826184
 0.502815   0.72527534 0.56761247 0.5275011  0.77734137 0.8160116
 0.5225853  0.7532256  0.6707339  0.5994768  0.77701724 0.78642035
 0.56894153 0.6909265  0.65353245 0.50350195 0.86549824 0.53933144
 0.49762723 0.66505635 0.55240214 0.46317115 0.9028183  0.12962814
 0.4974245  0.75143045 0.378238   0.6597767  0.52365303 0.7660642
 0.63776815 0.50261664 0.6285017  0.4870953  0.39578572 0.6009939
 0.46700802 0.39130387 0.7236236  0.6669807  0.27196985 0.86099875
 0.62656844 0.2768025  0.7911075 ]",situp,"111.23760223388672,108.94094848632812,76.97820281982422,66.86790466308594,70.19558715820312,0.1060791015625"
"[0.2906944  0.1830423  0.8032792  0.27036238 0.17056912 0.6811367
 0.2666065  0.17454337 0.7778011  0.24280871 0.20069662 0.9363204
 0.23762713 0.20776261 0.7570596  0.28454626 0.25127795 0.66719073
 0.23813187 0.31997874 0.82683146 0.4856495  0.23340714 0.804481
 0.42173144 0.3521279  0.56996644 0.72239023 0.1997603  0.5836431
 0.56378573 0.3372325  0.85221374 0.38672712 0.45527452 0.5810547
 0.34880203 0.4997683  0.73782265 0.557656   0.6119404  0.7988533
 0.51642156 0.64652604 0.90289235 0.70826316 0.7954602  0.8451408
 0.6563759  0.8085318  0.9325032 ]",pushup,"7.973281860351562,8.118682861328125,17.181976318359375,20.886947631835938,164.08193159103394,3.010816097259521"
"[0.3099822  0.41131708 0.5496848  0.29331765 0.39620936 0.51917887
 0.30258122 0.405361   0.42603225 0.2777881  0.40240282 0.406892
 0.27871075 0.4209679  0.3848929  0.2619384  0.42460918 0.7296243
 0.25235674 0.46634412 0.62533903 0.37590986 0.34270447 0.55592287
 0.3698396  0.36780727 0.33373708 0.48092344 0.25987113 0.5331172
 0.4718609  0.29392698 0.2705477  0.4813605  0.5167373  0.50022936
 0.4785275  0.5431865  0.5709392  0.3535183  0.35295686 0.3367979
 0.34247473 0.36916214 0.27016255 0.48979905 0.27076742 0.45729104
 0.4808609  0.28554156 0.37881604]",situp,"96.87570190429688,96.88082122802734,33.2161979675293,29.24950408935547,4.076938629150391,2.563301086425781"
"[0.50226665 0.23488714 0.5857569  0.51309973 0.21962233 0.59675837
 0.5249542  0.21248585 0.68156314 0.5582992  0.23411818 0.5713175
 0.5869052  0.23193637 0.8338532  0.5286832  0.3346324  0.54164726
 0.60991013 0.29379147 0.74971485 0.47203425 0.47906893 0.4288638
 0.57089394 0.45531222 0.46198413 0.4590906  0.44820315 0.21954192
 0.46501818 0.38293165 0.7003977  0.551476   0.59107393 0.58711994
 0.6192974  0.59184533 0.5961342  0.40099826 0.7766967  0.7426147
 0.45498648 0.7785123  0.6223135  0.6308284  0.8964878  0.66703993
 0.6665224  0.904554   0.6893504 ]",situp,"100.56717681884766,101.5011978149414,43.159324645996094,44.10961151123047,69.22200012207031,44.166297912597656"
"[0.5355944  0.24400182 0.28337744 0.5314795  0.23102286 0.38317168
 0.5483231  0.23067866 0.46538895 0.53371125 0.23461193 0.46663922
 0.573154   0.22901002 0.5954909  0.52468115 0.30317912 0.43456665
 0.60037816 0.27964926 0.5567725  0.51383704 0.39265192 0.29891166
 0.6101752  0.39739296 0.15055764 0.50155175 0.32992017 0.50141203
 0.5279817  0.3168105  0.5727143  0.56742346 0.52501416 0.66210896
 0.61212146 0.5338725  0.61453134 0.4438208  0.66233885 0.6114988
 0.46159002 0.68394125 0.66559917 0.57225436 0.8196143  0.36279356
 0.5993992  0.83735543 0.806534  ]",situp,"87.02096176147461,81.22521591186523,47.73295974731445,52.8954963684082,40.81060028076172,17.99102783203125"
"[0.7923384  0.09562252 0.5933498  0.7544806  0.07098913 0.7352559
 0.7535767  0.07478423 0.6816871  0.6626464  0.11596264 0.82648134
 0.6605861  0.11440586 0.7390644  0.5841811  0.27199635 0.6060848
 0.5830693  0.25048426 0.6965301  0.7114319  0.37328988 0.464109
 0.7336117  0.34063554 0.3335954  0.96897376 0.3389219  0.890645
 0.9387751  0.3258332  0.32676604 0.6379374  0.6190502  0.73802614
 0.6274219  0.602334   0.7569027  0.70715874 0.92935455 0.43950924
 0.6865468  0.8762288  0.47977707 0.70000863 0.9859846  0.14405866
 0.6791606  0.9750245  0.16227755]",pushup,"16.45697784423828,19.77147674560547,4.996803283691406,3.7706222534179688,144.95832204818726,133.87870502471924"
"[0.5684516  0.8832195  0.39933017 0.5813357  0.8977693  0.5513323
 0.5797448  0.89832115 0.5499341  0.630782   0.89620364 0.5580956
 0.6300311  0.88897806 0.42530498 0.65482277 0.8134632  0.6604371
 0.6346316  0.80260783 0.44223636 0.6753423  0.95418215 0.3644378
 0.6390768  0.8705321  0.09103662 0.66623193 0.96725976 0.3626648
 0.6467933  0.93064433 0.21035655 0.6544942  0.454413   0.55553365
 0.64632344 0.45675197 0.7859858  0.5279338  0.23595555 0.6375544
 0.528409   0.23604657 0.5749827  0.62101454 0.02367969 0.4598289
 0.61186326 0.03039492 0.6297739 ]",situp,"50.20138931274414,53.762237548828125,30.050067901611328,30.032867431640625,3.570587158203125,43.158966064453125"
"[0.76255256 0.7340978  0.45052743 0.734253   0.74028313 0.27949762
 0.7305081  0.7197117  0.36025164 0.69592917 0.6836775  0.18017204
 0.68994343 0.643534   0.44607252 0.6886443  0.63042414 0.32318404
 0.6765252  0.5392531  0.3809412  0.664243   0.56827575 0.02814585
 0.58770573 0.36260083 0.813334   0.7963342  0.5599451  0.06307404
 0.7970672  0.33218402 0.66356564 0.7079043  0.28660274 0.11486348
 0.6630654  0.25015932 0.35803485 0.737336   0.04351673 0.18828423
 0.74271846 0.05177706 0.2847588  0.9083363  0.13793194 0.0059236
 0.81557137 0.08165525 0.01335434]",pushup,"89.57673645019531,67.99886322021484,24.541786193847656,3.6972885131835938,108.42659378051758,107.82772636413574"
"[0.6102813  0.10609518 0.36552882 0.6016539  0.0898834  0.3680646
 0.60685843 0.08029163 0.29918933 0.626313   0.07269587 0.42697304
 0.64532804 0.0663988  0.2655459  0.6499556  0.15284355 0.5562114
 0.69291586 0.12836243 0.45845035 0.552648   0.20632574 0.27305335
 0.6493079  0.17534102 0.06647994 0.5891714  0.11132075 0.31062022
 0.5966523  0.1117871  0.3832708  0.6452304  0.399792   0.66904557
 0.66748005 0.40378025 0.5352753  0.5352541  0.5448337  0.832934
 0.53748775 0.547734   0.83478045 0.6456916  0.68518907 0.72706586
 0.663656   0.6856163  0.695172  ]",situp,"84.54234313964844,75.36796951293945,36.80598449707031,36.074649810791016,82.51139831542969,40.17732238769531"
"[0.67599297 0.6860611  0.4736895  0.67903376 0.69444925 0.5329998
 0.67728347 0.6936579  0.4107362  0.70425934 0.7063622  0.40343693
 0.6977896  0.70341784 0.3511291  0.71740794 0.67456335 0.6065685
 0.69703496 0.64489    0.3541698  0.7042174  0.63211536 0.30001348
 0.6683219  0.62316483 0.24097213 0.6750214  0.6499252  0.1689135
 0.63600105 0.63086754 0.32531205 0.7095751  0.50955063 0.49881852
 0.6940673  0.50346047 0.28995073 0.7231312  0.4874646  0.3115023
 0.7011318  0.5125637  0.14212608 0.71411675 0.3285459  0.43295914
 0.71200633 0.48067102 0.16597714]",situp,"56.6409912109375,34.787498474121094,36.610984802246094,34.258636474609375,129.48301696777344,75.87886047363281"
"[0.57061934 0.5488841  0.5409589  0.5689046  0.5594868  0.43483648
 0.56896263 0.55889577 0.3130365  0.5887134  0.585409   0.5670451
 0.58598846 0.58357584 0.2733585  0.6363687  0.5879578  0.5346315
 0.59918463 0.5584192  0.39215314 0.69254905 0.5169441  0.10492849
 0.5936621  0.47739986 0.28213355 0.6243321  0.47488916 0.2702124
 0.6081923  0.47411668 0.22232293 0.72572345 0.48982528 0.5819602
 0.71519387 0.48039186 0.47984138 0.6201238  0.4185871  0.3981738
 0.6003237  0.47924212 0.3220078  0.7085539  0.33029944 0.49145
 0.7001941  0.34074882 0.21260275]",situp,"125.22270965576172,101.04232025146484,145.5019073486328,98.31563568115234,81.16701316833496,96.69489669799805"
"[0.8549664  0.10760146 0.26271415 0.8397119  0.11289716 0.40966097
 0.8431952  0.06698314 0.39743438 0.72958356 0.16169226 0.41933513
 0.7304177  0.05956237 0.2372575  0.6684322  0.34141952 0.17153735
 0.6210745  0.09212286 0.17677112 0.5172788  0.5521932  0.67008036
 0.49780926 0.22644605 0.56989527 0.84726816 0.5741962  0.8722778
 0.75006276 0.16280186 0.10302225 0.5854573  0.5803609  0.40412152
 0.56461203 0.45794517 0.5452178  0.6638685  0.7084941  0.68786937
 0.62153524 0.6498525  0.31627044 0.62572545 0.812368   0.7383353
 0.60975903 0.75187534 0.3294811 ]",pushup,"23.10566711425781,51.62806701660156,25.29534149169922,50.61464691162109,33.297791481018066,121.83094024658205"
"[0.47403193 0.25644478 0.58694774 0.46159    0.2527864  0.62525934
 0.4739985  0.23557179 0.56787276 0.47451445 0.251479   0.60232836
 0.5025617  0.21460523 0.68088996 0.4848241  0.32364234 0.6854401
 0.55256903 0.23158856 0.7130583  0.46305507 0.3901091  0.3785771
 0.5776813  0.1229367  0.604809   0.46422154 0.3855358  0.34792462
 0.519079   0.1649511  0.5932365  0.5688625  0.51322514 0.6280729
 0.6057879  0.46638554 0.48661995 0.42275584 0.66357636 0.87641585
 0.4399052  0.5858019  0.61888987 0.6182279  0.7789939  0.8139178
 0.66793704 0.695907   0.75467855]",situp,"118.47689819335938,103.6197509765625,67.02129364013672,68.08650207519531,41.34765625,3.825721740722656"
"[0.47622034 0.4627527  0.40058345 0.45687312 0.47398823 0.5024773
 0.46410367 0.45941404 0.44783407 0.44271234 0.5115703  0.65782994
 0.44715604 0.49272284 0.38847208 0.5003376  0.5690093  0.5541755
 0.46306735 0.47780183 0.37686628 0.51589066 0.4863935  0.49171802
 0.46332294 0.4057258  0.3708308  0.47012004 0.46765932 0.41153237
 0.44606394 0.43210566 0.2352602  0.68183035 0.4369835  0.7347193
 0.64377433 0.4213495  0.48470503 0.50193113 0.32205614 0.47599426
 0.48804593 0.30287609 0.34219113 0.6389053  0.2688375  0.22663207
 0.62442476 0.25773478 0.43523648]",situp,"124.42269897460938,126.19514465332033,125.38856506347656,111.39401245117188,32.99150085449219,78.40199279785156"
"[0.28002965 0.19353443 0.7735006  0.24362293 0.21362293 0.8712584
 0.24792868 0.18643893 0.68603134 0.23448907 0.2839674  0.85485274
 0.24762464 0.22116838 0.564226   0.34151965 0.39711124 0.79892623
 0.41181093 0.24489756 0.68313175 0.66364485 0.43224356 0.5870649
 0.66635406 0.26533744 0.88712573 0.91771346 0.47929582 0.87431866
 0.89686793 0.26720086 0.87783873 0.45803848 0.5372287  0.6712753
 0.5182729  0.4508221  0.6945667  0.6732078  0.619612   0.87434155
 0.69203126 0.57271266 0.7000966  0.7618349  0.7244856  0.6760314
 0.77378553 0.69118273 0.8486538 ]",pushup,"20.341636657714844,28.848678588867188,27.61182403564453,29.3031005859375,4.127859115600586,4.267711639404297"
"[0.15729137 0.29636106 0.48119962 0.13486822 0.3270897  0.6676303
 0.1372753  0.29235688 0.68940496 0.16042705 0.41103107 0.75753915
 0.15175413 0.3275365  0.21689796 0.2680722  0.50398594 0.5873771
 0.2901021  0.34468925 0.6957691  0.41438016 0.6853523  0.39456034
 0.35037738 0.38061666 0.15680563 0.31820306 0.6320563  0.22200295
 0.2643031  0.29827192 0.3736444  0.5280447  0.7125733  0.88586724
 0.5396888  0.5711016  0.67223096 0.6209757  0.47077236 0.69348854
 0.60323274 0.28315747 0.6953622  0.87917346 0.60630107 0.8449837
 0.8317331  0.4683927  0.79307085]",squat,"63.41446685791016,83.32807159423828,60.23192596435547,72.28157806396484,12.93414306640625,22.1141357421875"
"[0.33975524 0.41965494 0.72331035 0.3236378  0.4313233  0.8248261
 0.3247203  0.39925992 0.82556444 0.33453873 0.43834805 0.7139607
 0.34083363 0.36662072 0.79022336 0.41620612 0.45841223 0.7815355
 0.44101638 0.32310075 0.8753518  0.5446671  0.4864608  0.24238084
 0.6025621  0.30691937 0.9146811  0.6018042  0.46862972 0.17526484
 0.67626286 0.40281114 0.70085615 0.65754783 0.47454238 0.62257403
 0.69282055 0.37103352 0.38545778 0.4957825  0.6026712  0.62377584
 0.54364145 0.5044269  0.49730313 0.6758749  0.7322026  0.85286653
 0.741498   0.6814492  0.70436525]",situp,"96.3784523010254,105.89288330078124,127.41972732543944,137.79473876953125,121.8252410888672,150.3512945175171"
"[0.20794284 0.76015955 0.82778627 0.17062224 0.777604   0.59472585
 0.15722723 0.7503172  0.77373856 0.13918728 0.7422469  0.44993085
 0.10699321 0.6719186  0.69281507 0.29132617 0.66745955 0.79608923
 0.16606787 0.56629217 0.9053085  0.58693075 0.6672218  0.7337798
 0.5530307  0.54402137 0.5958474  0.8376971  0.68764013 0.8989404
 0.8901408  0.549176   0.63601774 0.46243742 0.43084    0.40958372
 0.42767537 0.3607915  0.80897367 0.6255549  0.2857041  0.73156995
 0.6055209  0.22481555 0.69567853 0.7419843  0.18376675 0.7550293
 0.74933416 0.10169016 0.8079748 ]",pushup,"3.1678466796875,0.4583892822265625,0.750152587890625,12.465965270996094,175.8300833106041,175.29894478991628"
