data,label
"[0.21680394 0.5137664  0.4933337  0.2041292  0.5512314  0.6342648
 0.19612324 0.5256561  0.76984763 0.25767455 0.6178488  0.8704611
 0.22449197 0.566177   0.4440935  0.46340913 0.68866134 0.58649164
 0.38691002 0.4941441  0.8137281  0.71109575 0.65090805 0.6994193
 0.5808851  0.4829427  0.89123183 0.86545205 0.60543287 0.28799918
 0.7194339  0.45536682 0.7729199  0.8232354  0.5842044  0.576502
 0.77868414 0.49781305 0.6660054  0.87416744 0.53502834 0.10286446
 0.85372406 0.47931847 0.18442297 0.8798076  0.59721357 0.12983114
 0.86873746 0.5433013  0.10763032]",processed
"[0.29583114 0.49173298 0.7206133  0.2798738  0.50588423 0.7341611
 0.28276056 0.48333803 0.35255697 0.27706033 0.54511315 0.69501734
 0.28295362 0.49600935 0.6000646  0.36107752 0.59128517 0.82572156
 0.3676707  0.4741656  0.72892004 0.48601034 0.5751868  0.43351093
 0.4724809  0.43299982 0.59531003 0.36944544 0.5500072  0.55710965
 0.37184563 0.41599235 0.4008371  0.6116771  0.54588085 0.70803976
 0.6116478  0.47938165 0.7268142  0.7923515  0.5410903  0.8668317
 0.7696005  0.47769487 0.84340245 0.87019044 0.5566042  0.10126355
 0.87243235 0.5020921  0.23809445]",processed
"[0.29535452 0.49272272 0.64922315 0.27689007 0.51056004 0.83316994
 0.27944142 0.483647   0.53224903 0.2725273  0.5505601  0.76656264
 0.2790213  0.49722293 0.5752455  0.36137974 0.59667337 0.7872955
 0.36760536 0.47400615 0.7766026  0.48625743 0.5722585  0.5416395
 0.47960913 0.44040298 0.7009709  0.37226877 0.54781735 0.58672786
 0.3794208  0.40455383 0.52631414 0.6218913  0.54479617 0.7389513
 0.62428933 0.47918454 0.6993771  0.8000944  0.5400437  0.69110113
 0.7795469  0.4793432  0.8207942  0.870242   0.5594593  0.08194803
 0.87193954 0.49625513 0.17228787]",processed
"[0.12263329 0.46930915 0.07903294 0.11159921 0.48670563 0.0307305
 0.11510366 0.47460377 0.03679445 0.12065643 0.56325334 0.12081379
 0.11738538 0.5145765  0.05952317 0.1652514  0.5882555  0.7655059
 0.18955302 0.5045518  0.49922234 0.603169   0.57879674 0.7050864
 0.53447795 0.4693364  0.40413442 0.84345603 0.31959957 0.47356153
 0.67157423 0.28335282 0.5312637  0.84298086 0.54154617 0.51039547
 0.82186174 0.44880933 0.46960962 0.8690725  0.22724189 0.10486752
 0.8493177  0.13466173 0.1849517  0.8689114  0.28136227 0.16527401
 0.85923845 0.23372461 0.17975202]",processed
"[0.1294651  0.44880745 0.18832926 0.11279149 0.45541748 0.08538523
 0.11519458 0.4538386  0.09734263 0.1066716  0.5187688  0.1096132
 0.11525205 0.49987817 0.09953875 0.1952911  0.5973071  0.7380147
 0.19775224 0.55610114 0.59338313 0.64775956 0.56369865 0.6236184
 0.53472716 0.5343826  0.28404993 0.48529923 0.30250397 0.26748055
 0.4857873  0.30911052 0.18764359 0.8515736  0.53818214 0.5925589
 0.8266068  0.5183295  0.48007038 0.8669034  0.43274584 0.09213113
 0.8456178  0.41769338 0.12503189 0.8672807  0.43052197 0.14626272
 0.85810083 0.42406785 0.19955218]",processed
"[0.1198339  0.44757232 0.12292102 0.1068217  0.45734876 0.02128993
 0.10722354 0.45057598 0.01524982 0.11232992 0.5590526  0.04066427
 0.11217019 0.47723857 0.0614022  0.21287107 0.60606945 0.68941575
 0.21771729 0.4989026  0.32260647 0.65004134 0.55465096 0.7675918
 0.5344691  0.51294094 0.30635908 0.38310197 0.317691   0.534277
 0.38284272 0.31558853 0.3622209  0.8678717  0.5358709  0.6450146
 0.846684   0.49363    0.5723312  0.8683637  0.45422113 0.03877449
 0.85116273 0.40132615 0.10577177 0.8772743  0.4544952  0.03323198
 0.8688521  0.45380715 0.09027175]",processed
"[0.11696399 0.4887344  0.0620168  0.09997373 0.5084765  0.0127641
 0.11337379 0.31784528 0.01153563 0.11762302 0.5872206  0.06571908
 0.1128214  0.5168081  0.04260348 0.22726639 0.6309314  0.73680514
 0.2242031  0.5399304  0.6050189  0.65002173 0.59201974 0.6046432
 0.55058265 0.48674396 0.5117289  0.73026794 0.2783746  0.39991853
 0.6094101  0.2652415  0.49773473 0.86711925 0.56754136 0.5813844
 0.8488585  0.48575434 0.5488579  0.86166126 0.18584228 0.15542382
 0.7095284  0.0520945  0.19617279 0.77264524 0.26618797 0.14502579
 0.8621596  0.43130177 0.065642  ]",processed
"[0.12291083 0.47855875 0.1099291  0.10384379 0.48942047 0.0318993
 0.11041104 0.48709005 0.02639448 0.12109622 0.5720914  0.08278351
 0.11659387 0.51488197 0.04307881 0.2173992  0.60749024 0.71012694
 0.22320312 0.55651057 0.4811308  0.6299211  0.5800459  0.6547063
 0.5858815  0.5122821  0.50424385 0.86331165 0.46402505 0.19049665
 0.78147286 0.34155786 0.6461925  0.8399028  0.5741883  0.620995
 0.837154   0.5342347  0.47455066 0.8770881  0.47373408 0.01732406
 0.8658023  0.44867265 0.03229886 0.8832551  0.45090622 0.07160204
 0.87473637 0.43108597 0.06181645]",processed
"[0.13916324 0.47699144 0.06696843 0.11450624 0.48721647 0.02796656
 0.11965802 0.4857012  0.02647408 0.120668   0.5042979  0.05966318
 0.11978068 0.49283996 0.02629888 0.21448697 0.5951956  0.6894905
 0.222056   0.5403586  0.38105482 0.6667711  0.5817091  0.58229166
 0.6078872  0.5292445  0.24831502 0.86880887 0.4806754  0.21040052
 0.8445252  0.4217093  0.2757896  0.84731156 0.5412429  0.43662333
 0.84560174 0.5150433  0.4190752  0.868691   0.49020085 0.04049842
 0.85732293 0.39825797 0.05407162 0.86625904 0.38295835 0.14124039
 0.8618254  0.38098785 0.15371732]",processed
"[0.11298334 0.470855   0.11102008 0.08602939 0.47265473 0.01203167
 0.10051417 0.47563672 0.01366085 0.08991338 0.5295651  0.04266979
 0.10816196 0.516918   0.03134287 0.22324395 0.6399088  0.6715886
 0.22299816 0.57421845 0.49004063 0.62543225 0.6146054  0.6699512
 0.54590136 0.52489865 0.5145108  0.7276081  0.2985858  0.61501074
 0.6042447  0.29006642 0.5622098  0.8656465  0.5629571  0.6862061
 0.8401852  0.47283852 0.39794743 0.78111196 0.09841732 0.23240227
 0.6829503  0.03078069 0.265522   0.7622864  0.277776   0.11545478
 0.8572109  0.38035887 0.063118  ]",processed
