data,label
"[0.10444109 0.46325934 0.03844117 0.06380296 0.499619   0.00530412
 0.13879213 0.28312972 0.03222008 0.03046233 0.54965997 0.009578
 0.031363   0.5365023  0.00474189 0.15832642 0.5701641  0.6145282
 0.1473635  0.5178699  0.5951718  0.46050143 0.5829337  0.5950994
 0.43412384 0.528952   0.41911006 0.73616004 0.5145794  0.6904014
 0.6215321  0.43344772 0.28610554 0.63185567 0.53418255 0.73812294
 0.619252   0.48015234 0.69671184 0.87356967 0.50355667 0.09167267
 0.8671097  0.45861477 0.11354578 0.7769997  0.5098676  0.10141061
 0.81569076 0.4711822  0.07319257]",processed
"[0.53036135 0.30582854 0.5857906  0.5221273  0.28025633 0.5698291
 0.5226697  0.2794577  0.7384096  0.44734192 0.25271127 0.7532964
 0.45247373 0.2507723  0.5987645  0.37422463 0.39613682 0.39102417
 0.36705625 0.34029216 0.34074053 0.37311524 0.5886625  0.71147877
 0.4001151  0.55095136 0.33905873 0.56764305 0.6726972  0.63109064
 0.5571594  0.5676071  0.25635812 0.39264745 0.7249857  0.5793806
 0.41464943 0.67420065 0.44639257 0.5513     0.6197267  0.13319094
 0.5201787  0.51538616 0.32139224 0.5533903  0.7391811  0.48942426
 0.55600315 0.6660924  0.20156306]",processed
"[0.55825174 0.32694906 0.5024022  0.5507721  0.30900052 0.6768596
 0.5550207  0.30437997 0.7007877  0.4743173  0.27386194 0.7635167
 0.47864142 0.27194065 0.7375818  0.38652167 0.36055613 0.42374897
 0.36838838 0.35161784 0.50450647 0.42901152 0.5773048  0.73076016
 0.43507567 0.47076988 0.13477905 0.5473745  0.4380143  0.5013671
 0.51804084 0.43069246 0.19060776 0.43650204 0.724711   0.3195397
 0.43669158 0.6983256  0.33703145 0.42994002 0.58650905 0.19428262
 0.39991927 0.75598794 0.23622829 0.54231244 0.44809604 0.16555811
 0.61218286 0.4429755  0.16382028]",processed
"[0.31109348 0.61245346 0.58497506 0.29399243 0.6206645  0.49149403
 0.29522154 0.5915767  0.4026887  0.30075914 0.61655223 0.5207845
 0.30625048 0.5556891  0.89873743 0.3745392  0.6437633  0.50664574
 0.39018077 0.5116551  0.8418282  0.5478008  0.61846536 0.65550435
 0.55052584 0.49967563 0.4446772  0.4807119  0.6782366  0.72978604
 0.4672415  0.55524707 0.35172573 0.61665535 0.5853841  0.76544607
 0.6152914  0.52259517 0.8384194  0.83160377 0.5925455  0.80172503
 0.82914376 0.53358084 0.73979545 0.86380523 0.57665294 0.05207472
 0.9915584  0.51852024 0.04940011]",processed
"[0.2831906  0.48965058 0.61803937 0.27042013 0.5008285  0.5648309
 0.2695042  0.48352924 0.53608924 0.27116802 0.52859485 0.7416525
 0.27349016 0.49022433 0.55769545 0.35218525 0.5520849  0.6639405
 0.34766132 0.4797673  0.6089936  0.44775295 0.5712925  0.48826423
 0.44324982 0.45670152 0.5188275  0.41023275 0.54622376 0.2580084
 0.41884118 0.4445597  0.26782522 0.51997745 0.5220238  0.5268289
 0.516806   0.4783651  0.6004823  0.6508511  0.5311872  0.74943894
 0.64667886 0.48384708 0.612051   0.7745286  0.54034454 0.6492215
 0.7631828  0.4948401  0.77287024]",processed
"[0.28149897 0.4890313  0.54850054 0.26848412 0.50188637 0.51447225
 0.26760155 0.48283595 0.47673205 0.27218756 0.5297516  0.66332483
 0.27445164 0.48556656 0.46058065 0.34200734 0.55969965 0.5525183
 0.34566534 0.48252064 0.5181341  0.4388222  0.571785   0.633722
 0.4341609  0.4537353  0.42414013 0.4773755  0.54403526 0.45029253
 0.46883422 0.42530748 0.56855226 0.5103005  0.5337955  0.61412585
 0.51003146 0.48326045 0.5641651  0.65264773 0.53246146 0.7840598
 0.6474284  0.48928502 0.68951046 0.7768286  0.541434   0.64780277
 0.7647447  0.49659652 0.71332824]",processed
"[0.27728724 0.4860912  0.54727423 0.2644168  0.4977019  0.3896478
 0.26315224 0.4813771  0.32316914 0.26972216 0.52537674 0.56552744
 0.27025935 0.4833145  0.36022925 0.3446827  0.54916275 0.5821099
 0.34588933 0.47997132 0.3625269  0.44457757 0.5726607  0.4592608
 0.43631616 0.46608073 0.2829469  0.5136175  0.5667828  0.3900113
 0.5018142  0.42991778 0.3909096  0.5161479  0.5270806  0.57944614
 0.5200129  0.47532788 0.54773426 0.6511363  0.5305034  0.73127407
 0.650033   0.4905353  0.6638889  0.7737403  0.5381614  0.51475656
 0.76441216 0.49691483 0.6790358 ]",processed
"[0.2721043  0.4756886  0.6448355  0.2616368  0.48999926 0.5266856
 0.2605756  0.47155073 0.44985017 0.26915157 0.5160681  0.52129406
 0.26866832 0.46959186 0.35446236 0.34615517 0.54597604 0.6025643
 0.34408846 0.47191787 0.4229995  0.44567573 0.5697138  0.5376875
 0.43239886 0.4557891  0.3317286  0.52775824 0.5712117  0.48856404
 0.50158495 0.44404647 0.27966943 0.5134566  0.52003366 0.49622867
 0.5162876  0.46999952 0.5296436  0.65207314 0.52965206 0.5160931
 0.64646256 0.48665407 0.60713154 0.7789489  0.53982973 0.5548964
 0.76498216 0.49416316 0.6545527 ]",processed
"[0.27727762 0.47360477 0.6342112  0.2657974  0.48791897 0.4577979
 0.2656523  0.46860915 0.4425299  0.2699306  0.51398283 0.6486237
 0.2723784  0.46722502 0.3970113  0.34445202 0.5442418  0.639121
 0.34450957 0.47009665 0.47131103 0.44544634 0.56747013 0.60292584
 0.43414626 0.4545044  0.33875436 0.5272988  0.567877   0.5785096
 0.4984376  0.4430575  0.29796365 0.5117981  0.5251758  0.50045323
 0.5149638  0.4726413  0.5792907  0.6531113  0.53020287 0.53569096
 0.64667547 0.48626706 0.6142004  0.7774776  0.54126215 0.54933304
 0.76580787 0.49567056 0.6767648 ]",processed
"[0.28347155 0.48269498 0.36023492 0.26960707 0.4938714  0.6226069
 0.27132612 0.47529176 0.60979086 0.27202734 0.5219383  0.57829046
 0.27530405 0.48069084 0.38972947 0.3459305  0.5486394  0.6124809
 0.3488981  0.47863203 0.35592955 0.4418823  0.57141626 0.42614165
 0.43706128 0.46337438 0.3252672  0.49094096 0.55170524 0.29038295
 0.48694718 0.42006946 0.486462   0.5045538  0.5289828  0.52082396
 0.5062731  0.48392293 0.5040032  0.6514987  0.53185254 0.7473826
 0.6423814  0.48705077 0.5905115  0.7752645  0.540564   0.60401946
 0.764525   0.4960177  0.7126406 ]",processed
"[0.2834822  0.48391306 0.40284634 0.26982886 0.49568582 0.65220314
 0.27132267 0.4770372  0.5662469  0.27426    0.52371925 0.65145224
 0.27689403 0.48154992 0.28055343 0.3534606  0.5462395  0.5326242
 0.35411137 0.47381663 0.50856966 0.443886   0.56829697 0.31068605
 0.44665766 0.45444766 0.5291333  0.40643877 0.5495499  0.23155072
 0.42154062 0.4261099  0.2775118  0.5163145  0.5288843  0.56151307
 0.5148017  0.4833157  0.48426872 0.65718216 0.5337757  0.64765614
 0.65162414 0.4888254  0.7039971  0.78367007 0.5468475  0.5349759
 0.7714078  0.49918002 0.67362285]",processed
"[0.2843127  0.48992833 0.6031205  0.27093956 0.50172484 0.5781013
 0.2704834  0.48219994 0.4507305  0.2730273  0.52952474 0.66597694
 0.27694777 0.4807942  0.21055925 0.35596687 0.56124437 0.3940708
 0.35288137 0.4794832  0.56410885 0.44760743 0.57995737 0.32332224
 0.43992236 0.46057498 0.53563994 0.45752567 0.53866684 0.25174016
 0.45138165 0.45173737 0.30126    0.52553016 0.5408272  0.6017831
 0.52399737 0.4901111  0.5609373  0.6625772  0.5412109  0.74654675
 0.6566361  0.49428004 0.45485032 0.7915055  0.548472   0.44481552
 0.7830039  0.50188094 0.44635493]",processed
"[0.2852933  0.48846492 0.5719206  0.27110344 0.50166917 0.5171528
 0.2711503  0.48127985 0.4347893  0.27385658 0.52844787 0.6805856
 0.27605736 0.48165682 0.32415563 0.34812608 0.5579779  0.40107456
 0.35224807 0.48062658 0.4360414  0.44900304 0.57274324 0.37428206
 0.45027435 0.47284672 0.515882   0.49905095 0.57105094 0.26505715
 0.4986903  0.43386066 0.42999578 0.51765496 0.54044944 0.48791108
 0.5219544  0.4931575  0.62840563 0.67170465 0.5427945  0.6619574
 0.6690416  0.49540463 0.50697017 0.809153   0.54880375 0.62572354
 0.79445404 0.5084934  0.6519258 ]",processed
"[0.5221269  0.32893813 0.5591956  0.5180895  0.3152956  0.55390614
 0.5197776  0.31243294 0.58549255 0.45988157 0.2825868  0.6947951
 0.4642299  0.27939984 0.6229324  0.36909056 0.37038523 0.56463
 0.36294785 0.32526478 0.65268624 0.40641716 0.59067035 0.788003
 0.39292544 0.45091116 0.23253183 0.57517684 0.48557857 0.6653267
 0.524363   0.44397175 0.26758143 0.4037799  0.70776105 0.4651005
 0.4081793  0.6480358  0.41891223 0.64622563 0.5584085  0.08226427
 0.5881696  0.43327567 0.14266878 0.5729286  0.73748064 0.10302734
 0.5721394  0.6648283  0.04961726]",processed
"[0.28673437 0.47598982 0.5800695  0.27152467 0.4927034  0.72546065
 0.27362368 0.4732795  0.56653446 0.27443892 0.5234595  0.7257587
 0.27934295 0.48042855 0.39317417 0.35316455 0.5591912  0.68128455
 0.35800064 0.47627848 0.58976585 0.46003836 0.5791798  0.7429781
 0.45380226 0.46256435 0.43931714 0.5399986  0.5820211  0.3699942
 0.53424823 0.44430688 0.41384766 0.52876925 0.54002    0.6739722
 0.53432834 0.48411494 0.6643553  0.68386734 0.5423051  0.6926159
 0.68316513 0.49756745 0.47055212 0.82271206 0.55251515 0.62962353
 0.81572425 0.50529873 0.69093204]",processed
