data,label
"[0.33501133 0.14139295 0.66980624 0.30993202 0.1307643  0.6444642
 0.32678622 0.10538125 0.5639445  0.33108947 0.10831015 0.50666654
 0.37343282 0.05284993 0.86527747 0.37535912 0.18603092 0.884917
 0.5143446  0.07182969 0.8546654  0.43514    0.27754647 0.622073
 0.7448665  0.09133125 0.789914   0.45400533 0.36699027 0.7827767
 0.7203131  0.26971546 0.7407525  0.58757824 0.36566186 0.66065377
 0.70009017 0.31022224 0.7764544  0.38080347 0.5421575  0.8197407
 0.5644597  0.4967178  0.7523677  0.6023617  0.63859457 0.8246884
 0.831103   0.6289509  0.8786587 ]",processed
"[0.33481064 0.14447099 0.7657951  0.30903667 0.13392858 0.85265046
 0.3268498  0.10802346 0.62106025 0.33002037 0.11394643 0.54136485
 0.37260833 0.05734205 0.8569355  0.38432777 0.19875017 0.6990222
 0.5198838  0.08015314 0.9067022  0.44617066 0.28334227 0.50849867
 0.74114174 0.10052792 0.8083723  0.46568722 0.38153183 0.5139556
 0.71658933 0.272583   0.85711855 0.5864544  0.3814821  0.6628183
 0.7020582  0.32337254 0.7767975  0.38942343 0.55143225 0.8851279
 0.5727292  0.5087529  0.7985004  0.61415493 0.6467917  0.81167257
 0.8356744  0.6380084  0.8562641 ]",processed
"[0.35978743 0.1857205  0.572099   0.34007755 0.17536354 0.77130014
 0.3565946  0.15277854 0.5665963  0.36174121 0.16800658 0.42161694
 0.40241188 0.11610463 0.76521724 0.40358147 0.26042047 0.8604433
 0.52830726 0.1565379  0.82641065 0.46194172 0.36298895 0.40616134
 0.7323329  0.18790492 0.8974859  0.4487607  0.45442906 0.69745505
 0.69062936 0.34802315 0.75138545 0.5443656  0.4527566  0.5896528
 0.66803193 0.41033086 0.7264945  0.4097559  0.65685153 0.9026073
 0.5837872  0.6323278  0.8824715  0.65511256 0.7316108  0.7552835
 0.86373174 0.7218373  0.85822856]",processed
"[0.33009169 0.4620422  0.8250669  0.2970895  0.47808775 0.83070105
 0.29986328 0.43013084 0.8925982  0.29319036 0.48730913 0.82560503
 0.30460307 0.37850803 0.89937496 0.3958295  0.569574   0.843418
 0.43498945 0.32619086 0.8327999  0.55911654 0.6885629  0.8055105
 0.63258713 0.32679704 0.90560216 0.70116913 0.8488098  0.3661239
 0.80353546 0.30356634 0.64293647 0.71243703 0.6667518  0.9024597
 0.7584419  0.5093484  0.85592496 0.7139017  0.9270219  0.87265116
 0.7873939  0.5392223  0.7079316  0.8405657  0.91354316 0.07459951
 0.84541106 0.5563731  0.09719959]",processed
"[0.3263432  0.455663   0.77366674 0.29258963 0.4708239  0.79360527
 0.2957685  0.4239409  0.712915   0.2926968  0.4786836  0.6688642
 0.30262637 0.37055716 0.71900177 0.38892993 0.56159157 0.8774153
 0.43543515 0.3175631  0.92185104 0.5470294  0.68938786 0.9431566
 0.6170636  0.32484937 0.878374   0.64585453 0.85452515 0.8803836
 0.77095616 0.31532386 0.7933457  0.6859338  0.6625385  0.87380433
 0.73877054 0.49820465 0.8692767  0.71309334 0.9511526  0.7136132
 0.8070092  0.5513152  0.5678503  0.8539259  0.93196106 0.09721553
 0.82698935 0.5912701  0.05368119]",processed
"[0.31723484 0.44867516 0.8441564  0.28900787 0.4607618  0.9223637
 0.2913811  0.41506922 0.9130051  0.29064655 0.46854118 0.8020294
 0.30567703 0.36194992 0.88873106 0.37414214 0.5563947  0.80645525
 0.4234179  0.32494554 0.85094434 0.48809072 0.68273556 0.78232163
 0.52838993 0.32033256 0.79262805 0.5158577  0.8609521  0.7479106
 0.59464407 0.33237052 0.7016677  0.58632714 0.68442804 0.8525692
 0.62926996 0.5263665  0.8190225  0.7478101  0.96723974 0.7485761
 0.7474002  0.5819366  0.6360727  0.8557496  0.93061614 0.42933163
 0.86647946 0.60834837 0.19820923]",processed
"[0.31461462 0.44773164 0.8087002  0.28694504 0.46015733 0.91349316
 0.28958035 0.41471455 0.9223675  0.28993073 0.46829697 0.8073137
 0.308657   0.36233214 0.89538157 0.37320036 0.5574056  0.8129894
 0.41998386 0.3274935  0.9165254  0.48083636 0.6807478  0.7266644
 0.519815   0.32048348 0.8839875  0.50921965 0.8563639  0.72388995
 0.581278   0.33278546 0.73127663 0.57021934 0.67964506 0.84079623
 0.61299235 0.52451223 0.8006857  0.75137204 0.96257645 0.67325896
 0.75956756 0.5901742  0.7871909  0.8535937  0.93160504 0.45359933
 0.8655188  0.6117228  0.16604252]",processed
"[0.31160176 0.4416493  0.67320913 0.2830493  0.45319125 0.6756745
 0.2869903  0.40642226 0.8591968  0.2866549  0.4607305  0.8879192
 0.3047314  0.35584083 0.93958116 0.36623022 0.5506525  0.89803237
 0.42122608 0.3156912  0.75743425 0.47944665 0.6796702  0.69126785
 0.5299013  0.31824946 0.7774853  0.49988544 0.8502835  0.65007687
 0.60313034 0.33515173 0.71786517 0.57143056 0.67677605 0.8334821
 0.61382735 0.5249816  0.80845886 0.7415052  0.9724327  0.853003
 0.75542134 0.589472   0.74622744 0.85285074 0.928879   0.33458015
 0.8645064  0.609842   0.13256647]",processed
"[0.30809808 0.43854257 0.7790461  0.2782806  0.44960535 0.84962773
 0.28441253 0.40320382 0.64376277 0.28339368 0.4596133  0.8787537
 0.30274624 0.3544252  0.946447   0.36071002 0.5487511  0.84849906
 0.4188435  0.31583908 0.75556463 0.47601694 0.677453   0.84942126
 0.528539   0.31366834 0.8894041  0.50169295 0.85876966 0.8117113
 0.5986019  0.3305446  0.8790231  0.5645006  0.6715187  0.88750625
 0.6107872  0.5200539  0.7277924  0.73884267 0.97219247 0.7972908
 0.7584511  0.5873117  0.80910164 0.8484373  0.93252915 0.41295496
 0.86393565 0.60814536 0.11931564]",processed
"[0.30287406 0.4374447  0.70042944 0.27527398 0.45006534 0.89683545
 0.27930486 0.4052112  0.74364674 0.28142905 0.45753634 0.8373645
 0.29765028 0.35372663 0.9101731  0.3656549  0.54938823 0.87967265
 0.422302   0.31236312 0.9096814  0.4833054  0.677008   0.8590381
 0.53241074 0.3186399  0.894842   0.5191503  0.8553028  0.79169756
 0.6112465  0.3335449  0.7832648  0.5833768  0.6734124  0.82281685
 0.6289274  0.51911974 0.72818995 0.7353018  0.97360957 0.7952497
 0.7854917  0.5873449  0.689348   0.8494158  0.93129283 0.38121042
 0.8446417  0.84695786 0.08463491]",processed
