data,label
"[0.19654283 0.5246268  0.7743487  0.18520957 0.5347044  0.4440426
 0.18471065 0.5114814  0.5918277  0.19907127 0.5483562  0.5809925
 0.1958026  0.49794483 0.63454926 0.2726081  0.57268566 0.84525746
 0.2791216  0.47073483 0.7865415  0.36999524 0.58503956 0.6942339
 0.37741598 0.45963636 0.80434656 0.453969   0.58064777 0.5539944
 0.4536516  0.46433434 0.66804916 0.48902354 0.5463468  0.8101556
 0.48886514 0.4933936  0.8387144  0.6107338  0.5465198  0.6773604
 0.60546935 0.49472827 0.67252475 0.72626704 0.5499425  0.7942979
 0.72322345 0.48956895 0.7532189 ]",processed
"[0.27181226 0.48152137 0.8680463  0.25608057 0.5030468  0.9154304
 0.2543847  0.46127078 0.90633345 0.28893518 0.53240645 0.84371585
 0.2851435  0.4378551  0.7518494  0.39818352 0.58093905 0.7835848
 0.38716072 0.3808439  0.8873732  0.40081596 0.71059626 0.8896329
 0.37628654 0.24525365 0.7102095  0.3806515  0.83351517 0.6184621
 0.35983807 0.13503778 0.7728146  0.76613224 0.551987   0.63603675
 0.76121664 0.4234299  0.73883015 0.85785073 0.5774323  0.03086947
 0.8576747  0.42296094 0.06118224 0.85465664 0.55479234 0.01545994
 0.8444416  0.5360681  0.01087976]",processed
"[0.20404772 0.5243718  0.61736166 0.19212934 0.5353647  0.83502716
 0.1915807  0.5121539  0.65575284 0.2008209  0.55233204 0.68304914
 0.20292062 0.5030347  0.7029248  0.26464823 0.57501674 0.7955936
 0.27022156 0.4777512  0.85063326 0.32748473 0.63651586 0.565257
 0.31875843 0.4281981  0.675001   0.35361964 0.68564004 0.68854666
 0.3536595  0.35709897 0.68653595 0.48909456 0.55441743 0.8931839
 0.48832515 0.49314606 0.7787119  0.6075385  0.55295116 0.81039274
 0.603193   0.49572605 0.8492112  0.7262878  0.5516887  0.9236179
 0.7223744  0.49433365 0.85906744]",processed
"[0.21680035 0.5677995  0.57733786 0.18265505 0.5530913  0.70770794
 0.18884452 0.5728047  0.6342502  0.18513969 0.4844712  0.4685527
 0.18988009 0.5505978  0.7057768  0.3754104  0.36230835 0.87127113
 0.37589943 0.6275177  0.9211216  0.5715115  0.32338217 0.86613286
 0.6002655  0.67922753 0.7118834  0.6753355  0.32977045 0.8433746
 0.7453018  0.706953   0.8131839  0.7654416  0.43743291 0.7913736
 0.7665797  0.5643596  0.83398086 0.863314   0.42944902 0.03681082
 0.8595653  0.5845673  0.019627   0.8341267  0.42401218 0.01290582
 0.84174925 0.5630064  0.00656322]",processed
"[0.21794537 0.56466424 0.64205205 0.18302268 0.5508324  0.6144571
 0.18625553 0.5669598  0.6453092  0.18100406 0.482364   0.6051378
 0.18535207 0.53442436 0.5873559  0.38355327 0.3432893  0.8289258
 0.38712195 0.6153677  0.940246   0.59924746 0.33353752 0.91003746
 0.63828874 0.6377528  0.66013557 0.72377723 0.35691863 0.6925209
 0.78504235 0.64449346 0.888968   0.77183086 0.4116001  0.7137335
 0.77796996 0.54971695 0.82978606 0.8639363  0.38051865 0.05733289
 0.8596014  0.5834817  0.02721286 0.81230474 0.35696653 0.0438938
 0.8184758  0.6315963  0.01623071]",processed
"[0.21075332 0.5730962  0.7760403  0.17866018 0.55785567 0.73241866
 0.1793214  0.56596744 0.6950286  0.18019123 0.4887691  0.73879427
 0.18310185 0.5099642  0.90475714 0.38397658 0.3342542  0.86216724
 0.39316958 0.6031411  0.9246053  0.5922438  0.31597236 0.8603627
 0.64506674 0.6510562  0.71432096 0.70238215 0.3414823  0.6555082
 0.80192953 0.6768302  0.8519459  0.771857   0.40314826 0.82325137
 0.7808006  0.5423296  0.70637727 0.8622331  0.39207667 0.03954124
 0.85990906 0.58894086 0.01419952 0.8428215  0.3880307  0.01325636
 0.8512342  0.6734994  0.00856   ]",processed
"[0.21740383 0.5561688  0.7990597  0.18346152 0.5406958  0.82949466
 0.18489619 0.54465556 0.85880005 0.18706015 0.46964225 0.6730816
 0.1888074  0.478049   0.88177687 0.375526   0.30775648 0.79389125
 0.38851595 0.5675507  0.95068663 0.53503466 0.26539615 0.71798444
 0.60520196 0.70538825 0.6977244  0.5978898  0.29997507 0.58321124
 0.7437704  0.80227566 0.7758865  0.80307114 0.37069228 0.87671304
 0.82036185 0.50211376 0.7122531  0.863749   0.36589742 0.02339901
 0.8393444  0.79126793 0.06886625 0.85123056 0.36037272 0.00987411
 0.847744   0.5439095  0.00573541]",processed
"[0.22974694 0.53761977 0.7010525  0.1954322  0.52977073 0.8823995
 0.19755228 0.52780807 0.92674166 0.19601026 0.45671198 0.8367698
 0.19741648 0.45334554 0.8324864  0.35178667 0.30126035 0.7584986
 0.36343664 0.5550356  0.87284505 0.43927708 0.26330426 0.3520193
 0.43639228 0.74248683 0.68304116 0.49594098 0.3742856  0.0520546
 0.4916547  0.9073289  0.68594795 0.7890425  0.3633455  0.79750884
 0.8195901  0.48786813 0.70615464 0.42580488 0.7257144  0.07099739
 0.734781   0.6960323  0.00194437 0.8502821  0.22219996 0.05032026
 0.8503284  0.20652892 0.02911472]",processed
"[0.31757253 0.5290732  0.726769   0.291022   0.5466546  0.7561917
 0.28983414 0.5046448  0.89224195 0.2919442  0.55019826 0.80723447
 0.29085803 0.45828396 0.9243718  0.38894    0.5883107  0.7999906
 0.3893317  0.39766884 0.7152585  0.38439032 0.7014494  0.79361993
 0.37914324 0.28214943 0.6645248  0.37065598 0.8004641  0.8096316
 0.38821295 0.1990692  0.66548586 0.75605184 0.5785873  0.8934883
 0.76740193 0.46452835 0.75262356 0.85541344 0.58034164 0.03284742
 0.8557358  0.46253818 0.04702269 0.84942514 0.5708098  0.03573173
 0.8486127  0.45763874 0.02610122]",processed
"[0.31517354 0.5392198  0.8249985  0.29135227 0.5531109  0.85097367
 0.29060325 0.5145961  0.7845633  0.29478362 0.5512057  0.67939705
 0.2915613  0.4684709  0.62594426 0.40567905 0.59791493 0.66388047
 0.40245575 0.4033632  0.71901345 0.43296823 0.6940511  0.73747563
 0.45207533 0.29075497 0.8327095  0.4622167  0.8066496  0.8698287
 0.516811   0.21011937 0.84705603 0.74911386 0.5793697  0.74142706
 0.7666812  0.4719366  0.8701286  0.8602419  0.5966188  0.03946442
 0.8583811  0.4696368  0.04104797 0.8495441  0.580607   0.04178895
 0.85044366 0.4580393  0.03846779]",processed
