data,label
"[0.51031554 0.51334596 0.43197796 0.49405187 0.5087713  0.5173168
 0.4977478  0.49994892 0.50946206 0.5026741  0.48516673 0.46263272
 0.50415355 0.46452844 0.66062576 0.56185156 0.49187294 0.62321466
 0.55520636 0.43997616 0.53911275 0.42232376 0.5182511  0.52161545
 0.41301996 0.44467646 0.6499039  0.29432896 0.5286652  0.75642556
 0.28238282 0.43617183 0.6322502  0.8299339  0.5108828  0.6920861
 0.8302137  0.45485857 0.7099434  0.85694575 0.5025735  0.02577542
 0.8617737  0.45207447 0.03175182 0.85519075 0.47141024 0.02901071
 0.8587673  0.4534204  0.01913536]",processed
"[0.21854348 0.47042435 0.5808836  0.20056555 0.48185492 0.66047776
 0.20108558 0.45878246 0.5746135  0.20015174 0.4936149  0.5227154
 0.20208858 0.43952072 0.5065611  0.2724585  0.5115207  0.5271569
 0.2719751  0.41121465 0.8008685  0.389979   0.52159023 0.3858223
 0.3778073  0.3863855  0.56325144 0.37355193 0.5557312  0.6298819
 0.38111937 0.37966412 0.3407993  0.48997703 0.49508464 0.7466025
 0.49073398 0.43638432 0.7419807  0.6588815  0.5006629  0.6152998
 0.66000056 0.44074947 0.79812396 0.7933445  0.4971062  0.65224755
 0.79539555 0.4335213  0.5276206 ]",processed
"[0.51776737 0.5054968  0.5731026  0.49722236 0.50548583 0.5819658
 0.49806786 0.4917771  0.5728088  0.50247586 0.48796588 0.5242794
 0.5037405  0.456511   0.6034403  0.558564   0.49082732 0.43691015
 0.55388445 0.43286422 0.8040866  0.42212653 0.51096046 0.5308263
 0.4111405  0.44494885 0.62138945 0.2926332  0.5270824  0.7898228
 0.28230888 0.43914494 0.5360266  0.830108   0.5103472  0.6396343
 0.83002394 0.4542446  0.6266166  0.86587614 0.52826726 0.03080566
 0.86635447 0.4546718  0.03659351 0.85888165 0.47680858 0.01835105
 0.86384726 0.45914495 0.01371821]",processed
"[0.41718718 0.5640154  0.41224113 0.40608183 0.55449164 0.5140223
 0.40478683 0.55186075 0.4550007  0.40769252 0.51262254 0.5993244
 0.40973306 0.5089057  0.6909014  0.46123216 0.50243396 0.63756657
 0.45597237 0.48959696 0.7231495  0.3199493  0.53091764 0.4380504
 0.31339017 0.5231333  0.7216912  0.20192084 0.52279395 0.51872027
 0.19893539 0.5207047  0.6453675  0.6819484  0.5027629  0.6740519
 0.69707304 0.49001053 0.64432555 0.6940913  0.66394496 0.5694506
 0.69908226 0.6555006  0.66682476 0.7159995  0.8208621  0.7078198
 0.72450805 0.81731766 0.4627986 ]",processed
"[0.40991452 0.56315356 0.6051232  0.39999673 0.5529186  0.6896233
 0.39392057 0.5513817  0.37474245 0.40664497 0.51723194 0.5651743
 0.4038545  0.513406   0.6519433  0.45486498 0.51197755 0.7277224
 0.44966796 0.49873775 0.8545118  0.31720725 0.5362371  0.4669009
 0.31127942 0.52409077 0.6087391  0.20374106 0.5240991  0.56612635
 0.2005779  0.5195807  0.5689705  0.7065376  0.5077283  0.7853397
 0.70655084 0.5002077  0.84167224 0.8220763  0.6808392  0.73143464
 0.81999874 0.686458   0.74016356 0.8765502  0.7813336  0.07216161
 0.88060546 0.79172546 0.07688296]",processed
"[0.4162545  0.56295127 0.4052716  0.4024103  0.5553644  0.54961514
 0.40030277 0.55461574 0.5102063  0.41113088 0.5205996  0.54899454
 0.4077561  0.51878154 0.52038956 0.45790485 0.51567835 0.61724955
 0.45397726 0.49975112 0.8328833  0.31843632 0.5395524  0.3881536
 0.3116683  0.5244023  0.5638931  0.20264666 0.5253714  0.42888713
 0.19371226 0.51880556 0.46792585 0.7208295  0.5242863  0.7285622
 0.71896005 0.51259464 0.7567175  0.8639595  0.62515306 0.5334728
 0.8616154  0.6317344  0.60559934 0.85872316 0.620148   0.01965689
 0.85536325 0.6240189  0.02228341]",processed
"[0.41453156 0.56318676 0.4053435  0.40080577 0.55531365 0.50860137
 0.3995279  0.5550438  0.4795989  0.40939796 0.5207529  0.513583
 0.40745127 0.5196233  0.48579264 0.45898804 0.5160185  0.60306406
 0.4555489  0.49867618 0.81761837 0.3197726  0.5407003  0.33294877
 0.31207323 0.5238823  0.5644837  0.20411405 0.5272191  0.3854595
 0.19577615 0.51927453 0.49423346 0.72757834 0.5212065  0.76985174
 0.7289299  0.51042867 0.61414886 0.8723193  0.58413184 0.33114156
 0.8695066  0.5814383  0.25363746 0.8660476  0.5619489  0.02001198
 0.8609498  0.5715593  0.02018466]",processed
"[0.4121929  0.5646355  0.50614023 0.40426713 0.55370927 0.60558546
 0.39849684 0.5534108  0.43996313 0.4099957  0.52159166 0.5138518
 0.40959787 0.51731974 0.45153916 0.45893282 0.5173146  0.5629212
 0.453009   0.49918362 0.8052608  0.3213656  0.5405693  0.41355854
 0.31301206 0.5234199  0.6214636  0.20360829 0.5269015  0.3461903
 0.19954863 0.5192443  0.38036    0.72944623 0.52228636 0.75865996
 0.7307434  0.50709736 0.6410175  0.87113154 0.56460714 0.29308847
 0.87074286 0.55265766 0.22483349 0.86376053 0.54677033 0.02365445
 0.858721   0.5457791  0.02011919]",processed
"[0.41390663 0.56269807 0.41538164 0.40054262 0.5550152  0.5033859
 0.3990912  0.5539318  0.4619     0.41082194 0.52343035 0.51772046
 0.4101688  0.5190762  0.46785983 0.46089825 0.52052647 0.5118504
 0.45883906 0.50050855 0.73451066 0.32243976 0.54109585 0.42167068
 0.31314647 0.52465177 0.6157602  0.20387042 0.5271762  0.31788832
 0.19942416 0.5189498  0.39040497 0.72718513 0.5241121  0.769698
 0.72975343 0.5080906  0.44535264 0.87059575 0.555551   0.34405902
 0.86921316 0.54272467 0.2684774  0.86119586 0.5421477  0.02214459
 0.8580561  0.54027057 0.01799563]",processed
"[0.41193023 0.56006896 0.5733301  0.40421233 0.55018693 0.5578265
 0.39820117 0.54898554 0.37576413 0.4086893  0.51706314 0.497585
 0.40743005 0.515542   0.5259486  0.4577868  0.5136652  0.6626198
 0.45339632 0.49659172 0.8085238  0.3231151  0.5373274  0.42080244
 0.3131492  0.5224139  0.59522545 0.20585495 0.52592194 0.3522857
 0.19789053 0.52014416 0.5464113  0.7291321  0.5153542  0.7388882
 0.7292305  0.50453806 0.6255752  0.8715947  0.5723784  0.2881784
 0.86951905 0.5685855  0.23076826 0.8671364  0.56138235 0.02452334
 0.8623815  0.5626823  0.02904649]",processed
"[0.40921813 0.56013554 0.5477555  0.39835873 0.55058414 0.62202924
 0.39440158 0.5473617  0.48481137 0.4047758  0.5155607  0.3905774
 0.40351003 0.5111691  0.72843903 0.45331538 0.51053536 0.66862375
 0.4475463  0.4968501  0.7604322  0.32007435 0.53926146 0.39430234
 0.31242007 0.52396965 0.5690465  0.2050515  0.5269181  0.39213112
 0.19778922 0.5191335  0.5325396  0.7197069  0.5102478  0.6911003
 0.7161379  0.50380063 0.73518115 0.858741   0.61405647 0.4625777
 0.86096114 0.62102664 0.49753556 0.85158455 0.60256594 0.01414623
 0.8505035  0.610586   0.01429423]",processed
"[0.40917194 0.56364495 0.6004954  0.3980811  0.5539157  0.7357025
 0.39578462 0.5499211  0.5713185  0.4051641  0.5182984  0.55287516
 0.40362912 0.5131981  0.67208165 0.45588583 0.5144576  0.72825414
 0.44833505 0.49891534 0.8655442  0.32031676 0.53649116 0.48183653
 0.31245247 0.5243386  0.6198723  0.20499836 0.52548105 0.48969212
 0.201255   0.51949364 0.5660443  0.70529646 0.5063272  0.7915177
 0.704076   0.49792838 0.6864379  0.8224843  0.68444747 0.7095661
 0.81965506 0.68534553 0.7660083  0.87539387 0.80954283 0.16541633
 0.87668115 0.8161555  0.16438031]",processed
"[0.40766793 0.5606412  0.56027025 0.39395177 0.55177176 0.60745203
 0.39305472 0.5484834  0.49323508 0.3996202  0.51981443 0.618612
 0.39917314 0.509268   0.7961756  0.45521364 0.50709516 0.8324056
 0.45256454 0.50102055 0.9040298  0.32310998 0.53516406 0.3861581
 0.31592998 0.5277396  0.6791646  0.20287485 0.51963305 0.3673564
 0.20150287 0.51963145 0.58383304 0.6896692  0.5083567  0.830416
 0.700886   0.49617416 0.71793914 0.70832676 0.6764215  0.5220253
 0.7176042  0.6732212  0.6384825  0.73340726 0.836002   0.6182806
 0.73504937 0.83532864 0.50314295]",processed
"[0.5158196  0.507415   0.5338855  0.4957809  0.506357   0.5765634
 0.49705485 0.49415165 0.5424845  0.50356275 0.48823732 0.5248952
 0.5054672  0.45810187 0.6430378  0.56022054 0.49225202 0.4430261
 0.5567718  0.4343622  0.5709517  0.42416888 0.51328015 0.52101535
 0.41135237 0.44496253 0.6117781  0.2923795  0.52920514 0.5121438
 0.28535497 0.43914112 0.55062914 0.8288611  0.51397234 0.67430645
 0.83089554 0.45831963 0.68839604 0.86562955 0.5274929  0.02735917
 0.8659514  0.4568444  0.02986976 0.8597618  0.4734299  0.02056723
 0.86362493 0.461794   0.01253763]",processed
"[0.4155092  0.55676717 0.5337125  0.40215647 0.54914665 0.53192884
 0.3998918  0.54579335 0.69190174 0.4042612  0.5142671  0.46580267
 0.4055554  0.5099208  0.59470415 0.45811373 0.5053961  0.79316914
 0.45723176 0.49426877 0.7230213  0.32206625 0.5337708  0.35353142
 0.3171233  0.52676433 0.61368394 0.20495816 0.5187523  0.3457829
 0.20319308 0.5186202  0.5736836  0.6951472  0.51453906 0.82250875
 0.707665   0.50133914 0.78595835 0.64839387 0.6664658  0.49362925
 0.6621555  0.6641713  0.55355394 0.6550252  0.81271565 0.6710243
 0.66222185 0.81404436 0.61857253]",processed
