data,label
"[0.42040265 0.48079336 0.4733206  0.41965818 0.48898476 0.4245876
 0.41803795 0.4742557  0.4286113  0.42312717 0.5043494  0.55123633
 0.41942227 0.46403784 0.51765686 0.46039397 0.5160948  0.5529769
 0.45596784 0.44017664 0.5407774  0.3706027  0.53596    0.4956871
 0.3654396  0.41969216 0.5027524  0.28568888 0.54928803 0.6443971
 0.2909339  0.40184313 0.7080846  0.6791665  0.4938538  0.6076954
 0.67539793 0.44453233 0.6073471  0.7987271  0.48889634 0.249758
 0.7639616  0.43367025 0.31215957 0.86324817 0.49221826 0.28189442
 0.8210244  0.45245224 0.1136094 ]",processed
"[0.38050166 0.48406598 0.5182046  0.37600014 0.495377   0.5153716
 0.3717273  0.47820634 0.512313   0.3883583  0.51088667 0.5994225
 0.3814723  0.46952966 0.6607184  0.4214356  0.5295995  0.72494787
 0.42028564 0.44385612 0.82505107 0.3615212  0.5533624  0.7028684
 0.36574164 0.40264818 0.83725446 0.28152615 0.55233496 0.7335427
 0.29458445 0.40109038 0.7328642  0.6196707  0.4971106  0.7014034
 0.61664706 0.4409189  0.76221776 0.73882645 0.51292336 0.78434134
 0.73650295 0.41453344 0.6490189  0.84400153 0.49017775 0.7237145
 0.83742154 0.46705672 0.48820573]",processed
"[0.28923425 0.48706    0.4907916  0.28461444 0.4962744  0.44953096
 0.28149462 0.4819027  0.5549259  0.29852226 0.5023103  0.5914866
 0.29539374 0.4704736  0.6514669  0.34183598 0.5244895  0.7042211
 0.34010723 0.44289154 0.8032002  0.35275075 0.57993245 0.5015797
 0.36685273 0.38030022 0.74936306 0.28878593 0.557595   0.5467793
 0.28542373 0.39890054 0.6329347  0.49544013 0.49553585 0.74826396
 0.49332398 0.4377356  0.8228666  0.6171123  0.49979818 0.5930851
 0.6253735  0.4063746  0.7492949  0.71996295 0.48996562 0.348184
 0.72352815 0.46155557 0.3778113 ]",processed
"[0.6334137  0.5471332  0.5535251  0.61328834 0.5589182  0.63040066
 0.6115444  0.5309967  0.5122618  0.6047492  0.5559188  0.51665425
 0.5998438  0.4998742  0.6038922  0.63588524 0.55347866 0.5483622
 0.62000906 0.45139745 0.5175531  0.48124465 0.586399   0.8478955
 0.46729636 0.44031653 0.7661949  0.35176176 0.60877913 0.6720086
 0.31412965 0.42214963 0.5906051  0.85684824 0.5569952  0.76833385
 0.864332   0.48733008 0.70561504 0.8516775  0.57735556 0.05395193
 0.8614601  0.5051497  0.08072022 0.3534616  0.6066183  0.09792829
 0.87134504 0.51365834 0.03774213]",processed
"[0.56792355 0.5329228  0.50778043 0.5474709  0.5452799  0.54205436
 0.55104136 0.52114946 0.6735883  0.54528654 0.5489718  0.57343745
 0.5470724  0.49505073 0.5966707  0.5846355  0.56075615 0.74148136
 0.6054954  0.4609258  0.7670944  0.48098984 0.61803645 0.85200834
 0.46410114 0.43577233 0.69073075 0.35207894 0.616497   0.743583
 0.31703967 0.44095346 0.64019823 0.86278397 0.5709369  0.7159316
 0.8673742  0.5034036  0.7241908  0.85652834 0.54262567 0.09020916
 0.8618629  0.5049282  0.17566095 0.8557811  0.51854163 0.06737562
 0.8636102  0.50839996 0.09143908]",processed
"[0.3861217  0.5131148  0.70706016 0.368416   0.5160853  0.5903364
 0.36975768 0.49609655 0.7884815  0.3746312  0.5102711  0.6103827
 0.37593678 0.45477524 0.6894856  0.43955928 0.5374712  0.82472634
 0.45031816 0.43354607 0.81274563 0.46577445 0.6321897  0.8051593
 0.44172537 0.41216692 0.714094   0.34155074 0.6139298  0.77262783
 0.3124993  0.43368807 0.7012543  0.7177108  0.5839727  0.71732616
 0.72318524 0.52196527 0.70140207 0.86930263 0.6176699  0.28246036
 0.87373424 0.55937123 0.15707503 0.86474025 0.6020815  0.02358921
 0.8632808  0.54589903 0.02332939]",processed
"[0.22380847 0.5266083  0.8082387  0.20807585 0.5324881  0.6697546
 0.20699312 0.507404   0.775666   0.21249719 0.5192083  0.73146576
 0.21292943 0.4679414  0.7626048  0.31188992 0.5457415  0.80053306
 0.30198777 0.4376286  0.8040098  0.42757288 0.5733248  0.5132454
 0.4044707  0.36280042 0.82000685 0.34687912 0.602138   0.55510104
 0.3160664  0.42763668 0.6424359  0.5248508  0.5809553  0.7763736
 0.53037846 0.5217782  0.7145645  0.7607828  0.6258058  0.7672436
 0.773518   0.5821293  0.7742445  0.868583   0.6291715  0.13624534
 0.8600571  0.59106624 0.0462447 ]",processed
"[0.28340217 0.48896778 0.6423913  0.26702452 0.49793333 0.7057744
 0.26609793 0.47313416 0.5938524  0.2745631  0.4935788  0.7012744
 0.27236325 0.43916172 0.72749674 0.35990477 0.5160139  0.7509719
 0.33792502 0.412292   0.78334945 0.47255385 0.56628543 0.80526394
 0.445367   0.3647327  0.9134739  0.3667864  0.5799449  0.7466397
 0.33040553 0.41578132 0.63449395 0.56954503 0.5585819  0.7785818
 0.57652044 0.50495774 0.7100253  0.7988243  0.6189967  0.57765037
 0.82205456 0.5767075  0.6434535  0.8594809  0.59537643 0.11612262
 0.85537875 0.57873625 0.07328988]",processed
"[0.43534273 0.46328247 0.70505285 0.41460565 0.4679609  0.64722615
 0.4173595  0.44473794 0.85107285 0.41828728 0.46307334 0.5707801
 0.41930413 0.40996176 0.56684476 0.47473377 0.49269184 0.57014793
 0.4810483  0.38409948 0.8512907  0.4726349  0.56807274 0.7193843
 0.4458679  0.37346756 0.46191388 0.36217174 0.5464307  0.6720393
 0.3153686  0.40423808 0.7469051  0.7300761  0.53293514 0.7926443
 0.7355303  0.47728273 0.8233738  0.87468207 0.5750577  0.4299428
 0.87316346 0.52285165 0.15772662 0.86242676 0.84731424 0.03594983
 0.860989   0.5134901  0.01681402]",processed
"[0.5242837  0.45599386 0.54620975 0.5048172  0.4606631  0.74242485
 0.5072416  0.4417133  0.64879924 0.5053965  0.45002213 0.53441375
 0.51044345 0.4141387  0.5542407  0.5518732  0.4635934  0.63218045
 0.57535315 0.3799771  0.6122958  0.4695158  0.5210322  0.79695153
 0.45800543 0.36996037 0.87238616 0.33644792 0.5304236  0.70067394
 0.3232115  0.38850847 0.7987383  0.8232824  0.5135074  0.6585036
 0.8304666  0.45207328 0.75224584 0.86966735 0.51491755 0.03208524
 0.8685375  0.46976325 0.0340888  0.8614304  0.48324838 0.02137247
 0.86558574 0.4581353  0.02150107]",processed
"[0.57157654 0.4766448  0.53858954 0.55150205 0.48493263 0.5600718
 0.55334586 0.4661624  0.5775132  0.54482406 0.47972798 0.42850193
 0.54446024 0.4355537  0.5217742  0.5783725  0.47811297 0.5455025
 0.58610594 0.3926094  0.5489985  0.4624497  0.5159783  0.7584005
 0.4466569  0.38942826 0.7423323  0.3404526  0.52664864 0.7991393
 0.31454974 0.39597848 0.79502505 0.84144896 0.5031232  0.6721819
 0.84713393 0.4444731  0.645896   0.8692748  0.49415675 0.1693688
 0.8718779  0.45848992 0.18790025 0.8518759  0.4604121  0.1063485
 0.8568775  0.45347014 0.07709569]",processed
"[0.5772875  0.4774022  0.45194235 0.5615168  0.49125075 0.5129862
 0.5625229  0.47117412 0.51189417 0.5557346  0.48549908 0.59078014
 0.55228984 0.44537154 0.65424347 0.58339655 0.47855017 0.59535474
 0.5819175  0.40764213 0.7196369  0.44995585 0.50711745 0.6114861
 0.4252381  0.40876415 0.590388   0.3280089  0.52010816 0.55310565
 0.29791644 0.39757162 0.8050297  0.831549   0.4937586  0.5678059
 0.8334559  0.43497437 0.529544   0.8593817  0.4773336  0.42440394
 0.86151975 0.44452533 0.3801706  0.8605893  0.45914897 0.21748692
 0.86306494 0.4475744  0.14281575]",processed
"[0.5600845  0.47374722 0.5634546  0.5453796  0.48125973 0.54743665
 0.5440339  0.4677684  0.41631004 0.54291475 0.4670742  0.47093213
 0.5370305  0.4313099  0.6351338  0.5695388  0.4612509  0.536594
 0.56658536 0.39604858 0.66241574 0.44349295 0.49920207 0.7355863
 0.41152555 0.396126   0.66736895 0.3305517  0.50661224 0.50032777
 0.2848326  0.3886375  0.605897   0.80622727 0.47582874 0.6772985
 0.80356014 0.42163455 0.57664496 0.8635055  0.47435352 0.51022494
 0.8680093  0.42905667 0.43685344 0.8633934  0.4521628  0.2794049
 0.86406904 0.42843074 0.18381122]",processed
"[0.36408833 0.48387164 0.38861114 0.36043066 0.4951042  0.4088273
 0.35606495 0.4813203  0.45566073 0.37381312 0.51030195 0.4157269
 0.3667676  0.47694612 0.70534915 0.40714735 0.52743703 0.7869934
 0.41009447 0.4439479  0.814981   0.3517313  0.5590389  0.58573866
 0.36487323 0.39192313 0.5954454  0.28247535 0.55405396 0.6848379
 0.29033083 0.40063745 0.71757054 0.58711976 0.48905247 0.8182775
 0.58434314 0.43686435 0.7400519  0.7142375  0.50141555 0.650306
 0.71612024 0.41560385 0.58067983 0.812398   0.49994278 0.5212379
 0.799873   0.47000146 0.42774126]",processed
"[0.45290697 0.43577242 0.4730244  0.43913713 0.4311668  0.6957864
 0.44047618 0.4210708  0.6138409  0.44277462 0.41699713 0.7149019
 0.44538543 0.38728237 0.7451228  0.49200493 0.43541086 0.5607321
 0.51165736 0.36730465 0.666608   0.4325155  0.5016468  0.6695087
 0.41030154 0.36558    0.81018746 0.31931397 0.49673343 0.64860576
 0.28826472 0.37681258 0.8192391  0.7731968  0.47012755 0.7160944
 0.7741868  0.42048264 0.7122478  0.862246   0.5035348  0.153949
 0.8654149  0.45801073 0.08088551 0.86322135 0.4789368  0.03417642
 0.8630204  0.4521159  0.01436437]",processed
"[0.27090994 0.4203919  0.64587975 0.25882235 0.4246251  0.4035878
 0.25777847 0.40554604 0.69617856 0.26660433 0.4200313  0.40044948
 0.26902497 0.3772613  0.6074865  0.36055145 0.45035842 0.6938227
 0.33684573 0.36466137 0.77058995 0.4311493  0.4914143  0.6090649
 0.4068138  0.3438296  0.72721344 0.32854006 0.49250558 0.38407165
 0.3044064  0.3773024  0.482837   0.55013883 0.48619226 0.59308493
 0.5559614  0.4530207  0.6933384  0.75367355 0.5378196  0.421848
 0.774879   0.5132433  0.66233706 0.87271154 0.5399506  0.338544
 0.870574   0.5307807  0.2277504 ]",processed
"[0.19948633 0.4480879  0.8262649  0.18335785 0.45052254 0.7773465
 0.18467782 0.4286989  0.7910307  0.18830995 0.43640274 0.5727548
 0.19412017 0.38970935 0.75256956 0.28707787 0.43588063 0.6441456
 0.2681904  0.3711793  0.6295504  0.38936228 0.4488751  0.3002443
 0.36517084 0.32932562 0.77912533 0.302288   0.49043038 0.2568783
 0.26477697 0.38252056 0.43452862 0.483899   0.5047233  0.83477896
 0.48979354 0.48245862 0.6683134  0.691464   0.54756004 0.78138953
 0.6891698  0.5394245  0.67189467 0.8648596  0.57265604 0.5767793
 0.87044114 0.5727595  0.56854016]",processed
"[0.54481125 0.447417   0.3700748  0.5326463  0.43954659 0.3706702
 0.53404236 0.45832062 0.28115565 0.5481703  0.4396202  0.38339233
 0.5489582  0.4904253  0.40515932 0.60796446 0.41895068 0.69742596
 0.5728579  0.51928574 0.6186238  0.42707393 0.38239738 0.79882294
 0.43873778 0.53989667 0.84899193 0.2746707  0.35989192 0.8072308
 0.2850805  0.56586283 0.6783055  0.78858775 0.4409027  0.5152654
 0.7895954  0.5029681  0.53871816 0.6916651  0.41370916 0.10253149
 0.6632715  0.49864504 0.08163728 0.77357566 0.43206823 0.02603766
 0.85147196 0.4704554  0.10433567]",processed
"[0.5158669  0.4646631  0.40158004 0.49944693 0.45422187 0.50056577
 0.50225174 0.4763656  0.31514138 0.5156065  0.43491155 0.4525599
 0.5181109  0.50247324 0.5021334  0.58621657 0.40703213 0.4720273
 0.56498516 0.52364624 0.6858806  0.429439   0.37585562 0.7884328
 0.431932   0.54628456 0.7487706  0.27444637 0.35604644 0.7734054
 0.28758946 0.5620342  0.78652334 0.7968301  0.42877167 0.44377667
 0.8090937  0.49311897 0.57463366 0.8560632  0.43753546 0.10025899
 0.85237545 0.47521362 0.24939565 0.86211056 0.45951653 0.03685974
 0.86203945 0.46909854 0.08975343]",processed
"[0.4925965  0.4777785  0.4132134  0.47357625 0.4655164  0.48600453
 0.47669944 0.49186906 0.4343044  0.49585897 0.43847787 0.554247
 0.4937774  0.5116879  0.36572498 0.57907933 0.40568596 0.57343024
 0.5621872  0.5418422  0.58322304 0.43012613 0.36425623 0.7776143
 0.4319775  0.55959314 0.7579352  0.2735473  0.35069582 0.8049965
 0.28314883 0.5634127  0.7679557  0.8059922  0.43711174 0.52975935
 0.8091382  0.4965373  0.54325604 0.82252073 0.4427001  0.13896139
 0.84888965 0.4760993  0.16760518 0.8626449  0.47077987 0.03847754
 0.8590978  0.48201764 0.07078473]",processed
"[0.4815238  0.49529135 0.38806796 0.46376762 0.48223287 0.55631894
 0.46821943 0.5076776  0.40405536 0.4864185  0.453679   0.6975287
 0.48881927 0.52288    0.6038502  0.5802654  0.41695294 0.7339193
 0.56842947 0.54868484 0.7519906  0.43489513 0.35862747 0.8803994
 0.4289395  0.5696154  0.8181702  0.28004333 0.34360492 0.6459028
 0.28244212 0.56416476 0.79593974 0.84519    0.4209812  0.6763246
 0.84357625 0.48940495 0.76234704 0.8543296  0.42230028 0.08256563
 0.8595868  0.48091003 0.10634799 0.8578084  0.43703476 0.02847975
 0.8577434  0.4712749  0.04341605]",processed
