data,label
"[0.79438925 0.834003   0.6482765  0.7774328  0.841075   0.6056228
 0.77568835 0.8404163  0.6887637  0.73718596 0.8117027  0.7250512
 0.7371014  0.81319404 0.65984994 0.69441545 0.73361385 0.65521276
 0.7144822  0.74500346 0.7150821  0.7134262  0.6724593  0.3841067
 0.7544422  0.6923972  0.45258334 0.82463217 0.6773262  0.28454813
 0.89727914 0.7079005  0.6526016  0.67396134 0.50162697 0.7070394
 0.6919587  0.5057974  0.69991475 0.7339495  0.32816818 0.57962835
 0.7711819  0.32254142 0.56787413 0.729311   0.13953134 0.68434185
 0.7564991  0.12334546 0.83415216]",processed
"[0.2823254  0.18321963 0.7219355  0.2566469  0.17816132 0.79252166
 0.2559228  0.17655781 0.7430432  0.22077093 0.2089786  0.8271528
 0.2204875  0.20985559 0.7288178  0.26876023 0.2560813  0.59698355
 0.21562992 0.3249885  0.76001775 0.47627953 0.23009633 0.8351428
 0.42105907 0.3428749  0.5346149  0.6978879  0.20135996 0.76094645
 0.5661291  0.33441016 0.7911818  0.35386953 0.4665284  0.649441
 0.31930956 0.5092823  0.6879747  0.54389054 0.61104953 0.72320783
 0.51053    0.6439291  0.8497758  0.70729154 0.7999014  0.84593457
 0.6564946  0.80909634 0.92604166]",processed
"[0.29141745 0.1850971  0.6437278  0.2678976  0.17588753 0.73830307
 0.2657216  0.17720662 0.77038884 0.23385827 0.20667428 0.81508714
 0.22934966 0.20718157 0.8215051  0.2724368  0.25486982 0.67493147
 0.22180936 0.32240108 0.8430519  0.47930914 0.23542996 0.8808566
 0.42764103 0.3488594  0.54769325 0.70645213 0.20341566 0.57332647
 0.5651317  0.33519748 0.79856503 0.35680398 0.46302187 0.6493802
 0.32276538 0.5047935  0.85292685 0.5443928  0.6114819  0.8593078
 0.50978494 0.6454038  0.8533489  0.71104354 0.80010945 0.76246184
 0.6567401  0.80902857 0.9218475 ]",processed
"[0.22769791 0.18811372 0.7079334  0.20721616 0.17866632 0.7541442
 0.19861826 0.19017847 0.7220151  0.21017127 0.20501763 0.83638483
 0.19298409 0.22607689 0.6094254  0.2606733  0.2523177  0.8426901
 0.22896165 0.3225362  0.7855779  0.4774237  0.2318375  0.86111814
 0.40791807 0.33739674 0.6903426  0.7238792  0.19694057 0.76924527
 0.56732965 0.33415404 0.8712471  0.4053262  0.4553478  0.60488266
 0.36255637 0.49648938 0.6170257  0.56818765 0.6124128  0.76694286
 0.5230729  0.63706994 0.749549   0.716432   0.8117008  0.6225063
 0.653118   0.8108639  0.91760224]",processed
"[0.33422795 0.22873493 0.7131818  0.28528488 0.24955933 0.4750698
 0.29867333 0.20658219 0.58259076 0.21695444 0.3068513  0.64911157
 0.23687999 0.22929537 0.4875279  0.23840854 0.46546158 0.64327097
 0.2767152  0.24294096 0.6178671  0.5245289  0.58642787 0.5886157
 0.52200574 0.2477574  0.8903515  0.85602844 0.5688285  0.68074644
 0.7624296  0.23292117 0.9107571  0.3379378  0.61390245 0.7508976
 0.39629722 0.4984376  0.5947399  0.5299971  0.71613175 0.5574563
 0.52116567 0.583015   0.7621625  0.54882413 0.81512916 0.8801198
 0.56022304 0.7346437  0.6253117 ]",processed
"[0.34126505 0.22961976 0.62338984 0.2957504  0.24811162 0.4808518
 0.30961812 0.2070562  0.61340874 0.22481267 0.30280885 0.6001736
 0.24267115 0.22601093 0.507458   0.24289882 0.46541393 0.69534737
 0.27226114 0.24338566 0.56656283 0.5255947  0.58703    0.64783514
 0.5200752  0.24829204 0.8436353  0.85200924 0.5704398  0.7014011
 0.76448685 0.23169267 0.91373336 0.33817187 0.61527044 0.6223322
 0.38732204 0.49780494 0.5916387  0.53145236 0.71223813 0.5539739
 0.52131635 0.58266556 0.7123753  0.5498518  0.81317836 0.8520371
 0.56062496 0.7357736  0.63775885]",processed
"[0.6749235  0.13082553 0.78416586 0.64379495 0.13070695 0.71175724
 0.64718574 0.11742257 0.82438004 0.5732352  0.17739166 0.7017846
 0.5789468  0.14760041 0.67928576 0.54085344 0.29802296 0.58366764
 0.5294779  0.20015994 0.70311356 0.6386205  0.4041259  0.7395454
 0.66933477 0.2688655  0.45438913 0.83857226 0.35216457 0.9264174
 0.79312706 0.26082498 0.7723877  0.5000243  0.5072278  0.7816001
 0.48776782 0.46064278 0.7441274  0.5890835  0.66322684 0.5060852
 0.5916647  0.60685784 0.542684   0.6202358  0.83254486 0.75155604
 0.6101356  0.7373735  0.46165848]",processed
"[0.35381725 0.22380121 0.6063493  0.3114954  0.23809852 0.54645306
 0.3213657  0.19664732 0.6806468  0.23244825 0.30268827 0.7452074
 0.25038716 0.22776656 0.42089373 0.25129107 0.46389228 0.5755379
 0.27350175 0.24480169 0.58680576 0.5248897  0.5924887  0.72362167
 0.5213994  0.24819049 0.89500976 0.8514942  0.5688864  0.8053785
 0.7634027  0.2306658  0.9269389  0.34044495 0.61623657 0.6808331
 0.38853946 0.49690908 0.59976906 0.5342155  0.7145429  0.658104
 0.5214254  0.5832937  0.79784197 0.54784894 0.81669843 0.85311246
 0.55612624 0.72271925 0.57009566]",processed
"[0.6750647  0.13030736 0.7768865  0.64439297 0.13032681 0.7170386
 0.64735407 0.11689314 0.82755    0.5740063  0.17824548 0.7247986
 0.57851684 0.14849046 0.6732625  0.5466338  0.30035898 0.63780934
 0.5291413  0.20205483 0.7227952  0.6391621  0.4029164  0.7205867
 0.67205095 0.26947886 0.44437572 0.83810717 0.35184357 0.9342104
 0.7919932  0.26200747 0.7750642  0.50130296 0.50833553 0.79742426
 0.48717496 0.46373484 0.64330333 0.59116983 0.66428536 0.52108026
 0.5894476  0.60811657 0.520956   0.62002707 0.8320093  0.7792654
 0.60434735 0.7464418  0.6691189 ]",processed
"[0.53947806 0.22753105 0.5643204  0.51159877 0.2348438  0.59888226
 0.5186227  0.20647486 0.52046424 0.43020803 0.27468193 0.6337224
 0.43221906 0.21782464 0.35741106 0.38091195 0.44294846 0.61320114
 0.3929693  0.25470483 0.48511118 0.54960257 0.61919147 0.52582985
 0.5768976  0.24834254 0.75455046 0.853925   0.5729758  0.823428
 0.7699987  0.23305982 0.85780317 0.4549656  0.62591755 0.54879963
 0.48766866 0.5093871  0.5593675  0.5890327  0.7154897  0.65356433
 0.6166973  0.474442   0.22618827 0.5268139  0.8173861  0.69204867
 0.54438686 0.6251724  0.19755858]",processed
"[0.5587584  0.2247711  0.4653836  0.53101236 0.2292256  0.6826617
 0.5397412  0.20446505 0.46336532 0.44383678 0.27294764 0.7413319
 0.4498675  0.2167804  0.39970434 0.38797188 0.43908012 0.7834579
 0.4058429  0.24885269 0.4987195  0.54490703 0.6211432  0.48918036
 0.5834847  0.24668612 0.7828462  0.85332066 0.5728829  0.84435713
 0.7692533  0.23204865 0.8725411  0.46577284 0.62296474 0.50302404
 0.50457543 0.49770018 0.53449064 0.5912735  0.7160111  0.61478585
 0.6248239  0.5091789  0.27254766 0.5230198  0.81934464 0.8144034
 0.5485227  0.6413581  0.19687068]",processed
"[0.56311905 0.22515897 0.48828742 0.5357226  0.23083925 0.5137382
 0.54347    0.20232828 0.5085171  0.45651004 0.27397388 0.6493299
 0.4555053  0.21113521 0.4279284  0.3989885  0.43848735 0.65126735
 0.41271037 0.24706061 0.60018545 0.54281974 0.6200498  0.43570805
 0.5814682  0.2545547  0.77155423 0.8526195  0.5746085  0.841096
 0.7670614  0.23166978 0.87087655 0.47219667 0.62129164 0.6192873
 0.5213861  0.4939803  0.4992421  0.59075975 0.712286   0.63684434
 0.6222396  0.490462   0.29262593 0.51921487 0.82107085 0.8375111
 0.5486744  0.622347   0.15345687]",processed
