data,label
"[0.33047995 0.5341287  0.7825185  0.31056064 0.55477625 0.8662032
 0.30961227 0.531209   0.6534427  0.3083401  0.6046598  0.89022917
 0.30672398 0.5528869  0.8196312  0.436364   0.6385087  0.84863013
 0.39517546 0.5157287  0.6645172  0.59590954 0.594491   0.83567846
 0.547933   0.4410692  0.76296663 0.46437111 0.5151948  0.82948565
 0.45573497 0.476958   0.52827334 0.68756765 0.4888789  0.778382
 0.6481914  0.4468988  0.7983039  0.5764361  0.29834893 0.69572866
 0.5498867  0.26761076 0.7553103  0.72540194 0.10956068 0.6486674
 0.7045141  0.09971297 0.6739349 ]",processed
"[0.31661668 0.5646861  0.66272485 0.29822055 0.5757812  0.68353313
 0.29689822 0.57894045 0.48781008 0.31124437 0.6144169  0.7687844
 0.30929536 0.62486666 0.5456324  0.40586638 0.6010169  0.8406283
 0.39766726 0.62368894 0.8271546  0.52670676 0.4875152  0.85398126
 0.49587226 0.5554858  0.28312567 0.50047094 0.47346124 0.28673875
 0.46731213 0.5014408  0.52085876 0.64204514 0.53069574 0.57985145
 0.5984534  0.53367454 0.64558756 0.5369279  0.35070208 0.77086794
 0.50300056 0.34974095 0.7004962  0.66938114 0.18205817 0.8520147
 0.63690513 0.1890606  0.6510127 ]",processed
"[0.35265586 0.5085742  0.721039   0.3306333  0.5058264  0.733176
 0.3285309  0.51396936 0.5610615  0.31374952 0.5285834  0.73910093
 0.30794093 0.55547523 0.604584   0.38263217 0.5326272  0.6760062
 0.4369374  0.6258633  0.62119776 0.5322413  0.4447053  0.7451858
 0.60214746 0.62007415 0.6937427  0.46596617 0.49169138 0.7175428
 0.54805505 0.5547642  0.21045507 0.65887475 0.47924057 0.64490837
 0.66151166 0.48645464 0.64070505 0.5827018  0.29898682 0.7851774
 0.5809981  0.29536703 0.60292757 0.74121046 0.10046681 0.71722984
 0.70580685 0.10372225 0.67777324]",processed
"[0.22078593 0.4655498  0.48948354 0.20206164 0.47202748 0.5510698
 0.20172267 0.46673337 0.5583392  0.18713328 0.51373494 0.615174
 0.18643013 0.49852604 0.57299364 0.2797259  0.57066643 0.90283126
 0.23791991 0.4889299  0.7892403  0.45177907 0.5209     0.83418965
 0.36795464 0.45402044 0.3405544  0.3621177  0.43757573 0.68035537
 0.35342017 0.4286085  0.5798238  0.50327915 0.5010043  0.9036352
 0.4755707  0.43885666 0.7181531  0.4744314  0.36460325 0.6089954
 0.4080598  0.30719152 0.8295823  0.67155606 0.23241661 0.76284426
 0.65086156 0.20796795 0.74715275]",processed
"[0.23178285 0.46598732 0.5833357  0.21611336 0.45670515 0.5987069
 0.21217166 0.47274324 0.5563036  0.21700557 0.4697903  0.6162336
 0.20859818 0.5130638  0.5761387  0.2765443  0.49863064 0.8504884
 0.27938533 0.56030697 0.7833977  0.42138663 0.42885497 0.4997942
 0.416675   0.583214   0.5763827  0.42587107 0.41890478 0.3511567
 0.4141946  0.5072472  0.17459728 0.5345532  0.5018115  0.6824771
 0.52390504 0.47477573 0.60851884 0.47484007 0.35805604 0.7228813
 0.4789959  0.352449   0.48838538 0.71251106 0.22869566 0.7682406
 0.70326054 0.22331373 0.67496103]",processed
"[0.30939844 0.45856303 0.7490906  0.2890036  0.4619709  0.7892313
 0.28853774 0.45888063 0.80079687 0.27266988 0.5016162  0.78932106
 0.27092502 0.4978255  0.6370331  0.35603732 0.5435051  0.76518834
 0.34162545 0.51361424 0.7212234  0.5316504  0.51547796 0.9298322
 0.45739886 0.48135006 0.369697   0.4628629  0.43132728 0.7528141
 0.44634885 0.43211257 0.5556359  0.5972282  0.5082181  0.85814196
 0.5593459  0.47089478 0.6639233  0.53952444 0.3608352  0.801989
 0.5177394  0.337023   0.78021586 0.7657454  0.21267742 0.80525076
 0.7409644  0.19386846 0.67234415]",processed
"[0.34278917 0.5172353  0.43092    0.32360876 0.5363644  0.48803034
 0.32541436 0.5089771  0.5783095  0.3139855  0.55756927 0.5021306
 0.29866284 0.49278742 0.6049897  0.40683016 0.6030714  0.8073835
 0.32108593 0.44786033 0.72241336 0.52984893 0.6081589  0.7835948
 0.46508425 0.40405124 0.7124877  0.56823874 0.5700284  0.44516808
 0.53343546 0.48479313 0.49527758 0.6022687  0.5012484  0.63389033
 0.5581656  0.4181397  0.74094105 0.5635611  0.32488644 0.6824403
 0.51496655 0.27536443 0.8619524  0.76693875 0.17915829 0.7786899
 0.7549482  0.16131555 0.74192816]",processed
"[0.3672435  0.5311088  0.5711453  0.3533755  0.5560186  0.6148862
 0.34957543 0.52219754 0.63925695 0.33362404 0.58233917 0.7010094
 0.305457   0.5042976  0.6909352  0.39506757 0.6026371  0.7432645
 0.29977515 0.4567637  0.9062813  0.49670875 0.5727418  0.46107182
 0.4578838  0.42111892 0.75504404 0.5562073  0.5791432  0.5966986
 0.5516594  0.49171892 0.5214754  0.58147633 0.49253866 0.59264046
 0.5450764  0.4138855  0.7419544  0.5461074  0.3073084  0.7653905
 0.48683977 0.25115618 0.80622566 0.71693647 0.14864193 0.65614295
 0.6953651  0.13832475 0.7438181 ]",processed
"[0.30374402 0.49756482 0.54879624 0.28874522 0.51058644 0.6044439
 0.2863859  0.5022155  0.59363574 0.2855414  0.5481287  0.63480186
 0.27460647 0.52719283 0.36042643 0.41168222 0.6077617  0.8293021
 0.31373963 0.49580735 0.7046792  0.56796736 0.56511384 0.8756508
 0.3926094  0.4469351  0.2657566  0.4782505  0.4844469  0.81292456
 0.4476249  0.44958588 0.3997215  0.5908806  0.48567358 0.7447888
 0.5299867  0.43107763 0.6024449  0.5198959  0.3290367  0.49730906
 0.45908666 0.2911843  0.79260206 0.66871274 0.16773582 0.83453
 0.6289163  0.18034275 0.33509353]",processed
"[0.27415016 0.55133694 0.6334555  0.25717238 0.5431452  0.702545
 0.25530517 0.560804   0.59926814 0.26287094 0.5514893  0.63007283
 0.25968194 0.6004062  0.6635472  0.3374094  0.55781955 0.8144607
 0.3518326  0.63071156 0.8415784  0.46066532 0.47695014 0.7701578
 0.470934   0.6418542  0.6285274  0.4536938  0.48136437 0.37913722
 0.44088468 0.57655466 0.39424428 0.58253676 0.530813   0.72248334
 0.55988157 0.53417295 0.53809166 0.50102854 0.3585605  0.74377364
 0.4875974  0.35435724 0.56606853 0.6660795  0.20673154 0.85977393
 0.6368999  0.21056996 0.7739971 ]",processed
