data,label
"[0.5682167  0.76695293 0.39561188 0.5873013  0.7773511  0.33386156
 0.57156825 0.78552973 0.534287   0.6450926  0.7548834  0.38306987
 0.6066116  0.77300334 0.43312368 0.66496724 0.6692713  0.4430118
 0.5779261  0.7174778  0.48203993 0.67916733 0.53986084 0.60521686
 0.5827294  0.587951   0.2684087  0.6557901  0.42046174 0.5090272
 0.56547666 0.5178156  0.16388947 0.59356123 0.4170748  0.47237268
 0.53642267 0.46444657 0.48191974 0.4349869  0.28777623 0.74165213
 0.42425904 0.34647983 0.57303923 0.6376323  0.19726247 0.84207493
 0.61496294 0.3030919  0.24849014]",processed
"[0.58254695 0.7766433  0.44072154 0.6093958  0.7877864  0.44952923
 0.58033043 0.7946154  0.62784237 0.6551914  0.7649679  0.6660016
 0.5899316  0.7849551  0.6443329  0.64496106 0.6894524  0.7500109
 0.58776796 0.71139395 0.622297   0.6764044  0.5577512  0.63942933
 0.59347343 0.58562624 0.2734454  0.64596707 0.4263602  0.52016395
 0.56420755 0.5137547  0.14165077 0.5724259  0.40476203 0.63430685
 0.5208576  0.45283392 0.6723973  0.4322218  0.2855646  0.7864331
 0.42967734 0.3523549  0.43622598 0.62664866 0.19575718 0.7494065
 0.6139767  0.28288442 0.50481546]",processed
"[0.575164   0.78122014 0.56797016 0.6022415  0.7914514  0.651873
 0.5760993  0.79774624 0.5932194  0.6433221  0.7612861  0.6351225
 0.593929   0.78647447 0.59281313 0.63419265 0.68754303 0.7371672
 0.5896264  0.71663225 0.6696688  0.67394996 0.5571715  0.67827564
 0.6109938  0.5799276  0.30445006 0.64723617 0.4255685  0.58306664
 0.62279826 0.44970733 0.3423634  0.57064945 0.40552348 0.6327571
 0.5335693  0.44067094 0.5618134  0.42851818 0.2866994  0.8469437
 0.43070272 0.33521783 0.40271953 0.6203804  0.20205349 0.8941037
 0.60908324 0.27491677 0.41623488]",processed
"[0.4506617  0.64131665 0.4268218  0.44502214 0.6453007  0.569044
 0.45054933 0.6586268  0.48581725 0.46018636 0.6598885  0.5776813
 0.47417325 0.6938721  0.3975911  0.49117473 0.6173329  0.5811052
 0.5826142  0.69309926 0.45432374 0.39334184 0.5421739  0.60445476
 0.546271   0.6219562  0.11230389 0.45290977 0.6678184  0.39845473
 0.4874487  0.6796191  0.15780465 0.59962195 0.38845617 0.44732141
 0.584023   0.46715525 0.33503932 0.4319502  0.2869755  0.84231967
 0.4271594  0.3794344  0.4873829  0.61908394 0.20590591 0.9031431
 0.6038535  0.30540645 0.39415282]",processed
"[ 2.33774841e-01  2.82995760e-01  2.88403660e-01  2.14116469e-01
  2.96428680e-01  3.05434972e-01  2.18658626e-01  2.87303507e-01
  2.87732482e-01  2.07523391e-01  3.60814154e-01  3.70949119e-01
  2.09985882e-01  3.51146519e-01  2.48730466e-01  2.59825706e-01
  4.12866563e-01  7.50115931e-01  2.75989413e-01  3.79914135e-01
  5.29651165e-01  4.63868529e-01  2.49463394e-01  6.10780060e-01
  4.49229121e-01  2.50525683e-01  3.12463015e-01  4.52753097e-01
  1.15373805e-01  1.72225028e-01  4.87728536e-01  1.52716652e-01
  8.77140611e-02  6.80020988e-01  3.17682505e-01  5.71332991e-01
  6.66742980e-01  2.98242927e-01  5.44660449e-01  3.78270090e-01
  9.28019583e-02  7.47373343e-01  3.69728893e-01  9.83495787e-02
  5.99000335e-01  6.80971146e-01 -6.52762130e-04  3.74099821e-01
  6.71275675e-01  1.38571151e-02  6.51933908e-01]",processed
"[0.22723305 0.27891594 0.2785901  0.21101171 0.28705075 0.16721994
 0.21203434 0.28551188 0.14641495 0.21301366 0.34085694 0.28554538
 0.21522912 0.3468601  0.13097683 0.26588568 0.39631212 0.85264677
 0.27384302 0.40931886 0.6879541  0.47810495 0.25567254 0.74089086
 0.47374913 0.41407463 0.41521844 0.42638904 0.21773928 0.28229198
 0.46198848 0.26110527 0.09811676 0.6862943  0.30267757 0.50752705
 0.6656485  0.29825327 0.4932769  0.37135255 0.09188872 0.62824374
 0.36646387 0.0980786  0.47504783 0.6560248  0.0048674  0.54094577
 0.63881713 0.01681725 0.64671284]",processed
"[ 2.3101538e-01  2.8105381e-01  2.7240777e-01  2.1446291e-01
  2.9069296e-01  1.6754870e-01  2.1552002e-01  2.8829479e-01
  1.5276714e-01  2.0646192e-01  3.4755102e-01  2.7845508e-01
  2.0933256e-01  3.5135359e-01  1.3860346e-01  2.7175212e-01
  4.0382931e-01  8.7279695e-01  2.7410159e-01  4.0643731e-01
  6.7504936e-01  4.9021050e-01  2.5304979e-01  6.1812180e-01
  4.5019045e-01  3.3822006e-01  1.4749609e-01  4.3449175e-01
  1.1821461e-01  1.2593259e-01  4.5488498e-01  2.2650325e-01
  1.0549287e-01  6.8867236e-01  3.0438948e-01  6.1947381e-01
  6.6984493e-01  3.0817446e-01  4.7316933e-01  3.7119657e-01
  8.6042471e-02  7.5097686e-01  3.6648828e-01  9.3504578e-02
  5.0572217e-01  6.6627538e-01 -8.4332190e-05  4.8374242e-01
  6.6014361e-01  1.5741374e-02  6.4894742e-01]",processed
"[0.2368407  0.282084   0.27211654 0.21929318 0.2907358  0.36492103
 0.22031608 0.2872958  0.27688116 0.21681918 0.35013235 0.40891114
 0.21913058 0.35076106 0.20838124 0.26722613 0.3933334  0.85252494
 0.27320832 0.42319456 0.62234485 0.4888866  0.2477381  0.5886528
 0.46491727 0.40994924 0.35573202 0.4118121  0.20599805 0.32707685
 0.38161656 0.25451562 0.26198444 0.6764933  0.30862555 0.5528702
 0.6471645  0.31022575 0.41860312 0.37083483 0.08044855 0.7461284
 0.36502302 0.08695485 0.41430017 0.65209305 0.01264632 0.3871121
 0.6388648  0.01942814 0.632481  ]",processed
"[0.23588322 0.29339674 0.36560896 0.21698102 0.2978024  0.30489108
 0.21858415 0.29568565 0.17741907 0.2107564  0.33921897 0.2769088
 0.21687351 0.3389004  0.17230529 0.26431885 0.4000011  0.8492676
 0.28150406 0.37604883 0.5464964  0.46416524 0.26604006 0.41042024
 0.4777421  0.26088923 0.3425018  0.43374422 0.21690156 0.24118726
 0.43036324 0.21293478 0.21500845 0.6780221  0.292703   0.5617985
 0.6679538  0.29254052 0.44963458 0.3753484  0.08302278 0.6668574
 0.3679066  0.09411813 0.42249626 0.65872926 0.00422596 0.5810732
 0.6517902  0.01857935 0.77882963]",processed
"[0.23429716 0.2871729  0.23464185 0.21668443 0.29987055 0.19926278
 0.22100373 0.28715476 0.11066074 0.21574028 0.35887936 0.33035985
 0.2215656  0.3439458  0.16763462 0.26187193 0.39246684 0.7915011
 0.27007303 0.40618768 0.515425   0.47073063 0.28317332 0.24756895
 0.45652515 0.34949675 0.22579855 0.4319058  0.21607251 0.38963684
 0.4475366  0.23811504 0.1317836  0.6723719  0.29840904 0.6335154
 0.660631   0.29372692 0.47982588 0.3816149  0.09908479 0.8163233
 0.37290192 0.09877627 0.4639586  0.62463886 0.01554107 0.21099699
 0.6346432  0.02075038 0.45201233]",processed
