data,label
"[0.3644387  0.3960788  0.6562432  0.3488111  0.39930066 0.53560436
 0.34867868 0.38492197 0.66914636 0.35222533 0.3827958  0.25931123
 0.35268435 0.34234548 0.74362856 0.42632657 0.3620674  0.56490403
 0.411515   0.28140596 0.47190055 0.48587802 0.3569351  0.21254246
 0.49527895 0.22583015 0.50493634 0.42306516 0.38433462 0.15151903
 0.42239028 0.23930332 0.47861704 0.5539743  0.27806744 0.38282785
 0.55036    0.20585188 0.6056732  0.5850538  0.3758175  0.63623035
 0.5897157  0.28979394 0.5717413  0.70946527 0.3088233  0.5844877
 0.729081   0.24658823 0.79854345]",processed
"[0.40136197 0.42547515 0.67801625 0.3898866  0.43410742 0.564879
 0.3892551  0.4346634  0.46445933 0.4015029  0.4643246  0.6812059
 0.40023085 0.4652409  0.7147673  0.4496254  0.47210044 0.72659284
 0.44815496 0.47180286 0.7469456  0.45537615 0.3566556  0.5924187
 0.45927897 0.3639639  0.5870128  0.44802874 0.26726007 0.5602986
 0.4454918  0.27059147 0.61049056 0.57972664 0.564425   0.7892565
 0.57743865 0.54825145 0.7645381  0.62422794 0.4461023  0.4445173
 0.6088437  0.44014722 0.79452425 0.77284336 0.4938321  0.62227875
 0.74897325 0.4774373  0.42551026]",processed
"[0.26618594 0.5310591  0.47180983 0.25364244 0.54573876 0.5588571
 0.25226668 0.5305536  0.527753   0.2621979  0.5902852  0.83630806
 0.2582496  0.5567014  0.6804451  0.33460188 0.60790664 0.79968256
 0.3249146  0.5346902  0.6805157  0.35200015 0.49610206 0.5848387
 0.33968797 0.46473506 0.44606704 0.33624673 0.38006186 0.5883244
 0.3328203  0.3746941  0.5137375  0.511362   0.636212   0.8014746
 0.51444966 0.5757804  0.77821165 0.6159718  0.58193344 0.8036888
 0.593334   0.4767964  0.7525707  0.7553161  0.656358   0.7769682
 0.7192459  0.5384323  0.7535058 ]",processed
"[0.34145895 0.42597437 0.48858076 0.33032537 0.4405749  0.3833913
 0.32988575 0.43764433 0.25514686 0.3302311  0.4694761  0.53786045
 0.32945663 0.46194613 0.52405864 0.37936676 0.47263765 0.64966214
 0.3784791  0.45708793 0.5530673  0.39837408 0.3809014  0.39396212
 0.40179604 0.38128105 0.3780727  0.40777344 0.32221597 0.5726393
 0.41064188 0.3217486  0.3292132  0.5262798  0.536288   0.5801972
 0.5260611  0.5282926  0.68452543 0.59348744 0.43379354 0.50787884
 0.5865341  0.43300426 0.43697068 0.7095216  0.50067306 0.5332663
 0.70321774 0.49984717 0.6498716 ]",processed
"[0.50636023 0.65226716 0.1492208  0.47336027 0.6600523  0.14206992
 0.49680504 0.6606012  0.17093267 0.42742783 0.63438845 0.14602399
 0.4318865  0.652506   0.34958625 0.46917596 0.5450101  0.30074298
 0.46088344 0.55271757 0.37995556 0.5045254  0.3825505  0.17529526
 0.5279824  0.31589404 0.51062435 0.4280426  0.3727782  0.1676298
 0.39985088 0.3487277  0.4419581  0.609199   0.26561913 0.52778786
 0.6390362  0.25265598 0.6516195  0.67653704 0.4802256  0.2395939
 0.6855225  0.5489428  0.6533186  0.78247845 0.33061984 0.6789831
 0.92118335 0.40161043 0.6176881 ]",processed
"[0.34500533 0.4862396  0.48028314 0.33334607 0.4882024  0.62779844
 0.33171013 0.49201095 0.50204206 0.3336018  0.51106596 0.7469484
 0.330877   0.52323765 0.46917176 0.38982263 0.50898564 0.42958483
 0.36918727 0.5906904  0.683874   0.47166276 0.44924963 0.5608368
 0.44448128 0.5942115  0.31488067 0.39756882 0.45593956 0.4316186
 0.4309614  0.5656473  0.07635278 0.54969245 0.59740555 0.5363569
 0.5424303  0.6504497  0.7469548  0.52532107 0.473349   0.6411379
 0.5080414  0.5565944  0.3779625  0.654246   0.5165603  0.5915461
 0.60399413 0.5645694  0.58915645]",processed
"[0.37817833 0.44364107 0.582057   0.36546347 0.43284032 0.6271298
 0.36569974 0.43218747 0.6532436  0.38402113 0.40665832 0.5383762
 0.3859771  0.39946705 0.68311363 0.44741827 0.42400798 0.47537148
 0.44854087 0.39475653 0.5433289  0.49246693 0.4862271  0.21043889
 0.5008982  0.5461772  0.40566868 0.44779983 0.48121035 0.29863855
 0.44885513 0.4844067  0.40502352 0.6289978  0.40685594 0.34458092
 0.62822175 0.35613486 0.46436283 0.5745566  0.5239514  0.51178384
 0.5745638  0.4990543  0.3886257  0.68137705 0.4341654  0.42880687
 0.6852818  0.40271637 0.21411961]",processed
"[0.42820045 0.7024929  0.435519   0.41678256 0.70991385 0.55843335
 0.41778606 0.6969906  0.54742336 0.41732323 0.7438005  0.65147316
 0.42094174 0.71339476 0.40319005 0.4503695  0.77876073 0.5084403
 0.4642718  0.7132563  0.56570494 0.47392485 0.7029284  0.1975423
 0.48880747 0.6350941  0.37561673 0.49950752 0.61607736 0.35043034
 0.5046627  0.6041941  0.28725109 0.58265334 0.85847783 0.693554
 0.5771456  0.8016771  0.53093475 0.5941377  0.81542194 0.45644018
 0.57797736 0.7084758  0.5575759  0.7354504  0.8632306  0.69777805
 0.6928194  0.72877043 0.58518356]",processed
"[0.38336873 0.5096552  0.58291554 0.3685805  0.5193137  0.5857574
 0.37109685 0.5125522  0.46960288 0.3638596  0.56146324 0.7345689
 0.36773616 0.5492633  0.5395314  0.4034658  0.5731643  0.7655259
 0.40782812 0.55696905 0.575252   0.38802373 0.4358769  0.6152363
 0.3894891  0.44280726 0.30564672 0.36164021 0.34252268 0.5060533
 0.36419696 0.338537   0.5800869  0.6354697  0.62311494 0.8473088
 0.62825876 0.60310256 0.8191634  0.61582136 0.45267564 0.5888559
 0.60663414 0.45788196 0.5128873  0.7582534  0.57383    0.55236566
 0.7406952  0.5638289  0.61630774]",processed
"[0.28853396 0.52141327 0.75517297 0.2697856  0.5364475  0.79536587
 0.2695563  0.5367772  0.798239   0.28660905 0.5858979  0.9186602
 0.28567132 0.5814853  0.81136346 0.366785   0.58624697 0.7403135
 0.3626189  0.58794266 0.8208997  0.40949965 0.41792375 0.6132973
 0.4002079  0.4263679  0.76736313 0.38876018 0.2771006  0.62857234
 0.37865916 0.2850357  0.7856689  0.5988539  0.74017596 0.6620201
 0.5838467  0.7275245  0.6569331  0.5441473  0.5152919  0.43703416
 0.5301388  0.51572424 0.7733098  0.72644246 0.6357274  0.75869167
 0.69081724 0.6228955  0.7309289 ]",processed
"[0.14647798 0.85970926 0.38141876 0.12909089 0.85348284 0.52712214
 0.12932825 0.8525135  0.60407156 0.13276453 0.80949914 0.57704467
 0.13487376 0.8071736  0.7384243  0.21644937 0.7979561  0.4732537
 0.21857761 0.7608823  0.45145255 0.32913575 0.8034285  0.14332797
 0.35195032 0.7318617  0.38205698 0.34083486 0.8452662  0.13648094
 0.3452952  0.74608374 0.08601148 0.49730822 0.8423347  0.6582293
 0.5026891  0.79686934 0.54683316 0.6365374  0.888258   0.5801529
 0.6741783  0.8521481  0.6759011  0.79407954 0.82613236 0.6569379
 0.85842973 0.7722845  0.7979347 ]",processed
