data,label
"[0.22216518 0.44550142 0.31381494 0.20785452 0.4467797  0.5108878
 0.21660618 0.46893826 0.3437033  0.20527282 0.4566147  0.49963826
 0.22176133 0.4876997  0.31292802 0.22997701 0.42034057 0.7002773
 0.2850618  0.5127088  0.7713867  0.09302887 0.47163543 0.46593443
 0.29892462 0.5270501  0.4283435  0.01495325 0.51873124 0.5064343
 0.23781125 0.5695753  0.56145406 0.4009905  0.43258938 0.4843007
 0.4053263  0.5151469  0.6277299  0.648842   0.39017457 0.5813516
 0.653472   0.44250536 0.64457923 0.8741349  0.39267927 0.6665404
 0.87496996 0.44258374 0.63608176]",processed
"[0.2195786  0.46030876 0.29114932 0.20495464 0.45613974 0.4574486
 0.21195583 0.47416696 0.37911412 0.20297724 0.45704794 0.4514188
 0.21961367 0.49382868 0.51046914 0.2331897  0.4183689  0.7283405
 0.27717674 0.5126556  0.5773358  0.2813968  0.5183507  0.33461466
 0.28399116 0.52664155 0.38592952 0.2279187  0.5684663  0.34873903
 0.22377335 0.5739161  0.57109    0.39406    0.42181337 0.6343433
 0.40158653 0.5079723  0.59012514 0.650088   0.39480945 0.58296525
 0.65287733 0.44187474 0.693777   0.8824811  0.3927897  0.6987118
 0.8808306  0.4368199  0.57056636]",processed
"[0.24327329 0.49944377 0.3813922  0.23785004 0.5098699  0.38520017
 0.23735745 0.48950383 0.39489916 0.24122705 0.5073066  0.25123668
 0.23824361 0.46083295 0.46401983 0.32268313 0.4972469  0.30385074
 0.29215044 0.43450445 0.6150784  0.41480437 0.5251293  0.22034788
 0.17890178 0.47324276 0.40366822 0.50431734 0.5310892  0.15172438
 0.10007179 0.50108397 0.2862172  0.4887063  0.5093516  0.6298962
 0.4851628  0.46357247 0.5262642  0.6548566  0.4700535  0.36336258
 0.64811707 0.45963976 0.38882434 0.8622357  0.4467182  0.49881572
 0.86799836 0.4671877  0.60419595]",processed
"[0.11396272 0.41324022 0.6989437  0.09670568 0.43044412 0.6102709
 0.09649467 0.4231081  0.38863474 0.10734411 0.49698573 0.69135886
 0.10798959 0.48600674 0.24841759 0.18894868 0.5350339  0.6994187
 0.189321   0.5300673  0.48476046 0.34593478 0.5453423  0.46019307
 0.35103905 0.54149336 0.35909864 0.42915255 0.45190373 0.38305998
 0.4269315  0.45437223 0.24649918 0.48547408 0.52128875 0.6503986
 0.48374802 0.51425785 0.6177217  0.6649247  0.53815544 0.5345764
 0.66318744 0.5320948  0.4729618  0.8575299  0.5696399  0.6287789
 0.8405691  0.5678563  0.5382351 ]",processed
"[0.11346007 0.410971   0.75223416 0.09507909 0.42769623 0.65179783
 0.09450018 0.42615628 0.58357203 0.1081973  0.49462757 0.827945
 0.10880744 0.4908523  0.639804   0.18070239 0.5320766  0.5861493
 0.1835151  0.53483665 0.6916981  0.33863688 0.5445515  0.4938517
 0.34022903 0.55251926 0.40756842 0.4244344  0.46136937 0.38057217
 0.415778   0.47525996 0.2242506  0.48085248 0.52277213 0.70572865
 0.47918168 0.51981616 0.56314826 0.6666911  0.54091626 0.63323975
 0.6616569  0.53172415 0.6609493  0.85892314 0.5741578  0.5134142
 0.83730674 0.5653     0.5253948 ]",processed
"[0.07229922 0.41191575 0.5788355  0.05558622 0.4305489  0.6368451
 0.05318543 0.42114073 0.4987522  0.07427231 0.49735826 0.6747186
 0.07023679 0.4827413  0.16925848 0.16679898 0.5430937  0.68143827
 0.16706038 0.52031976 0.5700732  0.33219004 0.54383326 0.43636844
 0.32871416 0.5335125  0.2919334  0.41941774 0.4387466  0.36192456
 0.4130869  0.44173846 0.23169094 0.47257456 0.5257097  0.7073439
 0.47149435 0.5106297  0.66277695 0.67292553 0.543332   0.6892414
 0.66791016 0.5382415  0.5820676  0.8787306  0.5810066  0.6578999
 0.85813755 0.5787083  0.50923073]",processed
"[0.1135415  0.41194305 0.740301   0.09438475 0.42781842 0.6248482
 0.0937911  0.42619818 0.5862492  0.1056127  0.493417   0.87237847
 0.10634101 0.4889836  0.67507696 0.18107015 0.5337646  0.58340114
 0.18383619 0.5349933  0.69839734 0.33985072 0.54440486 0.50376886
 0.34365654 0.5508871  0.4496462  0.4247147  0.46124727 0.39212245
 0.41873378 0.47387853 0.23772012 0.48071417 0.5203348  0.7789856
 0.4803936  0.52212286 0.6060855  0.67071766 0.5369889  0.6310981
 0.66453856 0.5365005  0.6344276  0.868604   0.566662   0.5681914
 0.8402414  0.5737624  0.44133583]",processed
"[0.05898881 0.4177009  0.6035701  0.03831641 0.43330237 0.5164955
 0.03858962 0.42011297 0.36898473 0.05491141 0.49935782 0.5887876
 0.05525291 0.48575342 0.10345348 0.16340128 0.51174104 0.5508505
 0.16343603 0.5438071  0.43084672 0.30230927 0.3242791  0.45313948
 0.30156282 0.46225983 0.2596248  0.2863608  0.36858255 0.270094
 0.2889429  0.38670042 0.20827138 0.46793237 0.4798333  0.52234614
 0.46126008 0.49333587 0.5438343  0.6982126  0.51570874 0.4663354
 0.6973457  0.5094945  0.5790466  0.92673105 0.5677635  0.6510381
 0.89155304 0.5262937  0.6496146 ]",processed
"[0.12468465 0.46807858 0.31360513 0.10509523 0.484561   0.3759968
 0.10549811 0.47099268 0.27424735 0.11661237 0.54361355 0.73529476
 0.11885159 0.5311443  0.11774816 0.21928948 0.5564836  0.5017062
 0.21618786 0.57333434 0.46679646 0.33668935 0.38128585 0.4745456
 0.34048685 0.48981217 0.25661436 0.32839757 0.41527233 0.3124505
 0.33617187 0.435335   0.20269217 0.4843923  0.52524745 0.43700674
 0.47800568 0.5342177  0.52484155 0.6929402  0.55730474 0.6345916
 0.6937028  0.54669213 0.5152172  0.8908746  0.60235906 0.4045138
 0.85708886 0.56460196 0.60527754]",processed
"[0.11040477 0.47859603 0.6754956  0.09847134 0.50626236 0.70695496
 0.09794172 0.4843998  0.5077217  0.11820935 0.57701206 0.64923555
 0.11351896 0.52490425 0.23019679 0.21248718 0.63213116 0.84050417
 0.21717477 0.4867513  0.8822793  0.31017807 0.7765945  0.7294848
 0.32524467 0.51536727 0.3854181  0.40103018 0.6673513  0.6854181
 0.41625386 0.50305086 0.3004707  0.4737625  0.5989698  0.8107103
 0.46979904 0.4914847  0.7232214  0.6424232  0.63394016 0.8098664
 0.63228637 0.5379884  0.80753934 0.8214288  0.67877036 0.9457655
 0.7799913  0.57286173 0.8649948 ]",processed
"[0.09930861 0.4855219  0.7080391  0.08506456 0.5134999  0.7827535
 0.08522181 0.4945389  0.8810758  0.10905707 0.5838098  0.7971309
 0.10188694 0.54147214 0.6392013  0.19420296 0.64496875 0.6507805
 0.20564666 0.49159133 0.72244334 0.29905626 0.79823995 0.8184551
 0.312533   0.52764225 0.38572407 0.39783937 0.6767967  0.5655753
 0.4188457  0.5139517  0.30997992 0.4665532  0.61017984 0.8133579
 0.46064508 0.49941382 0.8762098  0.64589727 0.6440172  0.6374772
 0.6361303  0.5460086  0.76942945 0.82952636 0.6896471  0.9023503
 0.79338396 0.58300245 0.8742138 ]",processed
"[0.08698042 0.488607   0.7291991  0.07222483 0.51806706 0.582943
 0.06968216 0.4953434  0.7964436  0.09537877 0.5888606  0.71914643
 0.08400316 0.5407794  0.53383565 0.18486574 0.6449539  0.618119
 0.19701853 0.49325174 0.7679701  0.2938259  0.8073863  0.84920484
 0.31125447 0.5130467  0.56210315 0.39733326 0.68730223 0.6856649
 0.4183071  0.49753764 0.51682687 0.4582059  0.6164549  0.85245025
 0.45422342 0.5029788  0.88137907 0.6439879  0.64850515 0.8905576
 0.6351527  0.55012673 0.8542734  0.8329443  0.69759893 0.8617085
 0.7967026  0.5858814  0.8968642 ]",processed
"[0.18512231 0.48356158 0.5493622  0.1749133  0.5016687  0.56167537
 0.17496274 0.49591902 0.5239947  0.1937046  0.5428287  0.685234
 0.19563413 0.5361327  0.44674456 0.27250448 0.5439327  0.62303996
 0.27782732 0.5189472  0.5936917  0.27397594 0.32280734 0.6426078
 0.28886256 0.35840002 0.14882624 0.23916999 0.45373785 0.44555017
 0.26224822 0.42577857 0.2702163  0.51558685 0.513643   0.576007
 0.51307386 0.48644784 0.70522696 0.7037371  0.5323704  0.6775283
 0.6939703  0.51592356 0.44476253 0.892544   0.5382669  0.84138
 0.84599495 0.5253528  0.554645  ]",processed
"[0.11338006 0.47737917 0.76154315 0.09896151 0.5054623  0.74971956
 0.09847622 0.48354188 0.63395125 0.11899219 0.57629424 0.71056134
 0.11320665 0.52685875 0.45264542 0.20441043 0.6307278  0.6477174
 0.21773435 0.483913   0.8893005  0.31023467 0.77992034 0.78988636
 0.32510167 0.5035781  0.50002587 0.4029403  0.6691574  0.53717256
 0.42153296 0.49167272 0.43669644 0.46855533 0.60156393 0.851275
 0.46651143 0.49253324 0.75923353 0.64187473 0.63284075 0.81559014
 0.63077676 0.5387304  0.94344306 0.82076085 0.6774985  0.84082943
 0.7839328  0.57243735 0.87048584]",processed
"[0.1631943  0.44675756 0.8004255  0.14240117 0.46251982 0.71402746
 0.14644527 0.4434625  0.82141054 0.13739623 0.5195748  0.83857155
 0.138846   0.47982854 0.5243667  0.25029844 0.58285326 0.8017742
 0.22939084 0.44250104 0.8062663  0.39313257 0.5070912  0.30828753
 0.36817902 0.40309194 0.820147   0.30572236 0.4641703  0.23948732
 0.36653525 0.46681443 0.20828292 0.508152   0.5248421  0.79357255
 0.49899068 0.4463068  0.77916324 0.69454783 0.52801484 0.8255246
 0.66147715 0.4756075  0.71297425 0.8317614  0.5425454  0.85608006
 0.78898346 0.4939832  0.66052794]",processed
"[0.162455   0.4337816  0.7740566  0.13881117 0.4514976  0.7388414
 0.1442913  0.4332849  0.82472605 0.13195695 0.50823766 0.89885503
 0.13599233 0.47000107 0.44301975 0.2518476  0.58074206 0.8605837
 0.23101394 0.43456882 0.78763807 0.39765745 0.4960347  0.4549237
 0.37006876 0.3872663  0.8013698  0.26348856 0.44160467 0.42999268
 0.3811458  0.4216995  0.38802698 0.5182824  0.51692396 0.8521532
 0.5081387  0.43504363 0.8147623  0.7271751  0.52059615 0.69132835
 0.68786925 0.4643936  0.89823794 0.8765496  0.5366852  0.8488773
 0.8303167  0.4882847  0.7298014 ]",processed
"[0.1098837  0.54108715 0.5999787  0.09160745 0.54280096 0.40312314
 0.09101135 0.53007907 0.54140466 0.08586651 0.5134351  0.1857027
 0.08414369 0.48228076 0.49927443 0.18700126 0.4770811  0.4300153
 0.19675347 0.45699546 0.37799975 0.3385181  0.45701975 0.27566868
 0.36194798 0.4515926  0.44762036 0.33482283 0.5409194  0.30286717
 0.3476691  0.54745805 0.39638355 0.47145233 0.49174306 0.51047564
 0.47574997 0.47346392 0.5592115  0.6760499  0.5170639  0.5100364
 0.6966284  0.47360218 0.44130236 0.8554368  0.5057044  0.4041765
 0.8964006  0.46166083 0.52844   ]",processed
"[0.09189261 0.53139406 0.35000283 0.0730389  0.5351002  0.4689873
 0.07067503 0.5203152  0.70479375 0.06800814 0.5081065  0.14711496
 0.06462799 0.47341517 0.5476929  0.17452833 0.46456346 0.49567696
 0.17877588 0.44254574 0.47246835 0.33239737 0.4566843  0.2385258
 0.35680354 0.4412999  0.403489   0.33257762 0.539086   0.32619622
 0.33763126 0.5440199  0.26994812 0.4685594  0.4812614  0.4365787
 0.47294465 0.46072266 0.5518514  0.68473536 0.5085642  0.5072628
 0.706778   0.46215415 0.60725653 0.8692554  0.50121725 0.45520833
 0.9193569  0.44601688 0.44141704]",processed
