data,label
"[0.3075794  0.36055914 0.59936017 0.28188616 0.36034605 0.57201505
 0.28328586 0.35983226 0.5670488  0.25573003 0.407823   0.6885025
 0.25792032 0.40099728 0.72687185 0.3345628  0.4602014  0.6486577
 0.33589175 0.46134672 0.7879753  0.48738658 0.5039962  0.42990184
 0.49082288 0.5030247  0.32107237 0.66495776 0.511951   0.687679
 0.6515889  0.50830907 0.44232512 0.63029516 0.5014443  0.6942606
 0.62487215 0.50641966 0.4916522  0.87484545 0.48473993 0.26490483
 0.8758559  0.4777462  0.33894393 0.9977117  0.4763445  0.02790882
 0.9993848  0.47803372 0.02295076]",processed
"[0.36790833 0.35968655 0.63157076 0.34273535 0.36007562 0.47440335
 0.3443037  0.3578833  0.42139363 0.31408483 0.40151805 0.7258468
 0.31874403 0.39490336 0.6670536  0.36883017 0.46195513 0.8420259
 0.3858944  0.44577464 0.53680974 0.5054579  0.5492373  0.7346621
 0.51874596 0.5181591  0.50398636 0.6648418  0.5171574  0.7823466
 0.6585046  0.47937217 0.41774288 0.6956762  0.5208344  0.6727228
 0.6901022  0.49053296 0.57578516 0.8797128  0.48905045 0.104994
 0.8724534  0.46443933 0.13540907 0.96547943 0.68985885 0.02139642
 0.8662166  0.47143143 0.00859948]",processed
"[0.35425493 0.354655   0.75048727 0.3263628  0.35477826 0.6167525
 0.3315559  0.35137397 0.7406753  0.2965325  0.39835197 0.7218206
 0.302022   0.38940057 0.5744855  0.35620856 0.45473024 0.69045603
 0.38100892 0.43970263 0.69836634 0.50454164 0.53786266 0.57423633
 0.51982296 0.4893941  0.5352957  0.65372074 0.520018   0.66704726
 0.64525753 0.46577016 0.5151792  0.67222863 0.528046   0.64947265
 0.66781664 0.4927333  0.65679073 0.87512386 0.49355748 0.18720682
 0.866976   0.46809176 0.13476333 0.8629648  0.4962507  0.01118028
 0.8577237  0.47946212 0.00652233]",processed
"[0.3559038  0.28886473 0.7190787  0.3330458  0.28058076 0.67875445
 0.33295065 0.28146014 0.6489477  0.29420513 0.31763032 0.7431786
 0.29533455 0.312303   0.6905126  0.3476594  0.38937485 0.81869763
 0.3540628  0.38517937 0.8297354  0.46216053 0.4939234  0.7044779
 0.46671233 0.4856164  0.63084936 0.59924424 0.519046   0.5129461
 0.59542    0.5149368  0.5307978  0.5553009  0.5086688  0.61121076
 0.5605664  0.50168145 0.6996765  0.7284611  0.55913454 0.6113242
 0.72757107 0.54369706 0.60449815 0.8357736  0.6530266  0.27775806
 0.8213426  0.6441948  0.39083335]",processed
"[0.32619476 0.30523378 0.70530945 0.3032136  0.29787633 0.79326516
 0.302667   0.2984001  0.75404364 0.2652871  0.33186704 0.7610626
 0.26739147 0.32473615 0.696549   0.32100618 0.40831208 0.7740821
 0.32360274 0.40025568 0.8695033  0.46815616 0.47014096 0.6114086
 0.46411824 0.46918517 0.5429472  0.61349833 0.5016705  0.5946778
 0.60457695 0.50602    0.43265608 0.53715414 0.51353014 0.74498403
 0.536846   0.5104266  0.7968155  0.72978675 0.566618   0.807559
 0.7256694  0.5683507  0.670711   0.8460816  0.6517425  0.46233425
 0.83811206 0.65006536 0.48488107]",processed
"[0.35205767 0.3039684  0.7884338  0.3296598  0.2963244  0.56848454
 0.3298438  0.29623812 0.55810124 0.29245308 0.3320869  0.8353608
 0.2939057  0.3272234  0.7146293  0.34307757 0.40821904 0.8453689
 0.3548254  0.39739192 0.8649389  0.46521536 0.5107294  0.6950154
 0.47296363 0.47764677 0.41347745 0.60914975 0.5208291  0.6771319
 0.5994471  0.50884587 0.5862099  0.5565011  0.515284   0.74267375
 0.5627913  0.4963839  0.5788067  0.7476687  0.56405103 0.70434856
 0.74497366 0.53998995 0.49130163 0.8619196  0.63239473 0.19053154
 0.86053246 0.626505   0.23914617]",processed
"[0.4612476  0.2862672  0.65480787 0.43889108 0.27895463 0.5967292
 0.4384436  0.28038377 0.5605062  0.40942797 0.3197431  0.8498458
 0.41106775 0.31553912 0.7870779  0.4569035  0.39629027 0.7418776
 0.43383768 0.41005582 0.79476404 0.48122698 0.5304552  0.72313476
 0.4715491  0.5337354  0.5717571  0.6130966  0.52734274 0.57406706
 0.5981321  0.5313374  0.40833068 0.689496   0.5243913  0.4779799
 0.6871017  0.535926   0.54181516 0.84802806 0.5724337  0.45487285
 0.82825243 0.5634239  0.32920778 0.8928254  0.6025038  0.11059276
 0.87766355 0.58713144 0.106736  ]",processed
"[0.53825897 0.2918977  0.5595895  0.5176558  0.28731114 0.59699446
 0.517632   0.2885807  0.6258068  0.4862548  0.32477292 0.7003207
 0.4865759  0.32291016 0.7530122  0.5026661  0.40280998 0.77342534
 0.49657434 0.38932946 0.67686474 0.48345923 0.5275585  0.6446317
 0.47205117 0.5034561  0.62492824 0.6052998  0.5328529  0.6179182
 0.59809947 0.5183167  0.5771809  0.73409414 0.53917783 0.55924946
 0.7386055  0.5176287  0.582862   0.8854354  0.5761353  0.29922107
 0.8825823  0.5686327  0.2738399  0.87925243 0.5857783  0.07130262
 0.8760731  0.5766953  0.08835571]",processed
"[0.5807955  0.28793803 0.5548557  0.5590813  0.2895924  0.45431486
 0.55794424 0.28700233 0.48878768 0.53272265 0.33119744 0.71522737
 0.5323601  0.3296064  0.6507277  0.5518097  0.4085968  0.539506
 0.534114   0.36736315 0.6264803  0.4788389  0.51268536 0.6417554
 0.47286034 0.492354   0.5669393  0.60614383 0.5348163  0.5469597
 0.60164106 0.5299877  0.54685867 0.75874835 0.55040187 0.6680857
 0.7543157  0.5361574  0.5293458  0.8697093  0.5602799  0.21265231
 0.87152797 0.566109   0.15980196 0.8735608  0.5597352  0.05363248
 0.86980385 0.5577981  0.04101363]",processed
"[0.55701435 0.2938254  0.5729045  0.53802025 0.2934692  0.5843398
 0.5365237  0.29265097 0.5910804  0.5072076  0.33009267 0.81708854
 0.507926   0.32719272 0.6948671  0.5186806  0.41113973 0.60269475
 0.5206812  0.3805076  0.587954   0.48393014 0.5269655  0.5694069
 0.47478577 0.4964722  0.5841542  0.6064628  0.53903264 0.46748206
 0.6005583  0.5272756  0.57885057 0.74032444 0.54611105 0.58683234
 0.747802   0.5226277  0.64124835 0.8822428  0.5765143  0.19148485
 0.8839248  0.5758534  0.14368403 0.87555605 0.5592056  0.03421729
 0.8722247  0.5525017  0.02417734]",processed
