data,label
"[0.24483186 0.45762345 0.59276974 0.22337598 0.4720407  0.66228956
 0.22227009 0.46913674 0.5218342  0.23385492 0.5221966  0.57652444
 0.231504   0.52198505 0.49836212 0.37069017 0.54839635 0.616763
 0.36797497 0.5278077  0.7340048  0.59440213 0.54082483 0.61618984
 0.58256084 0.5286951  0.47539115 0.77918404 0.48767775 0.5921211
 0.75055987 0.47673276 0.29058245 0.7248075  0.54961014 0.8198191
 0.71311367 0.53014326 0.6438895  0.86459345 0.52451867 0.07508905
 0.84506625 0.49793613 0.07600959 0.8244795  0.7697691  0.10893088
 0.8206878  0.5033887  0.08829516]",processed
"[0.25916234 0.48507512 0.64685726 0.23561011 0.5005348  0.5381273
 0.23529242 0.4926166  0.48659536 0.23459865 0.5647556  0.5574204
 0.23328616 0.54643476 0.4934411  0.34791175 0.6048871  0.8982546
 0.34468704 0.5756795  0.6368308  0.5891507  0.608741   0.68634737
 0.51836157 0.56434256 0.19698517 0.43273818 0.51257664 0.5101009
 0.43914056 0.50218016 0.4847842  0.7316601  0.63493794 0.819974
 0.72515005 0.6006138  0.7200422  0.8701263  0.57630545 0.03180151
 0.85802644 0.54164    0.1823092  0.8610407  0.6164262  0.01237226
 0.8561544  0.5480072  0.05298919]",processed
"[0.26592004 0.474933   0.6523437  0.24301112 0.4912747  0.8519474
 0.24123159 0.48679784 0.7345068  0.24018647 0.5535856  0.89860034
 0.23945448 0.5422112  0.7208357  0.3594179  0.60422504 0.8502334
 0.35501185 0.5569386  0.63443035 0.5975758  0.64816976 0.788596
 0.5466939  0.597713   0.36432242 0.5415558  0.48211157 0.47576457
 0.53244066 0.48185438 0.6238175  0.73346007 0.63178104 0.82354903
 0.72512466 0.58972543 0.72534424 0.8660867  0.56990564 0.05613888
 0.8540829  0.5413714  0.1590123  0.855673   0.59690833 0.01179252
 0.85163236 0.55207354 0.03306099]",processed
"[0.26184297 0.46129373 0.71386844 0.23825747 0.47725555 0.82676256
 0.23731086 0.47147685 0.68752724 0.24073577 0.5389868  0.892997
 0.2394354  0.5298842  0.6362774  0.37036267 0.59122366 0.57267976
 0.36615324 0.5629148  0.7375383  0.59666395 0.60544366 0.55799454
 0.56761    0.5630181  0.4267625  0.77705693 0.5421901  0.75132096
 0.70084417 0.5068525  0.6171865  0.73490304 0.6261719  0.7175417
 0.72221357 0.5996886  0.5136876  0.8455637  0.5158493  0.03036942
 0.8270612  0.5163593  0.04885523 0.81329185 0.5395056  0.0525498
 0.81909466 0.53609186 0.01992991]",processed
"[0.2272053  0.48386744 0.6287997  0.20967759 0.5019323  0.6868076
 0.2088768  0.4995431  0.5503369  0.2296602  0.5569035  0.86064875
 0.22651468 0.55081505 0.6439085  0.3670596  0.58190674 0.8043231
 0.3556838  0.5592313  0.61001396 0.5768497  0.5864651  0.555304
 0.5564095  0.56709266 0.47938395 0.7428563  0.53275585 0.63549596
 0.6831668  0.5086159  0.50351864 0.71829134 0.6048971  0.8222732
 0.6970835  0.5793862  0.6340965  0.8766057  0.5597979  0.1711831
 0.86993676 0.5397462  0.18265343 0.7998781  0.53482026 0.01890706
 0.8458539  0.5436204  0.02573789]",processed
"[0.23127583 0.4817035  0.51874757 0.21202993 0.49990457 0.6212509
 0.21161938 0.4983252  0.6145802  0.23345059 0.55509377 0.79265714
 0.22968562 0.54873633 0.4222133  0.36618102 0.58671635 0.8365057
 0.35632572 0.55658185 0.52743924 0.58439434 0.603773   0.6703899
 0.5332528  0.5650284  0.3635483  0.6946556  0.5074717  0.79077303
 0.62616235 0.48997134 0.584242   0.7119048  0.6045353  0.7656419
 0.6969744  0.5863677  0.6127646  0.878686   0.5379947  0.11721376
 0.8674112  0.52755755 0.32903188 0.87298936 0.55666244 0.01038336
 0.8627234  0.53423077 0.04535192]",processed
"[0.23365687 0.47044116 0.5639381  0.21501222 0.48991093 0.7546635
 0.21382527 0.48706087 0.728666   0.23599918 0.5502066  0.64952207
 0.23257692 0.5401708  0.526146   0.35893673 0.5841618  0.80377275
 0.3533358  0.55748576 0.80485743 0.5901374  0.60875034 0.7406086
 0.56068236 0.58466685 0.60251004 0.5397117  0.45852187 0.6435469
 0.5382545  0.46712592 0.56974834 0.7081872  0.60197663 0.66214937
 0.6978267  0.5689077  0.6329014  0.8752424  0.55678433 0.2406325
 0.86035347 0.52279156 0.4953945  0.8635391  0.55626875 0.03244644
 0.85459507 0.53710836 0.14910404]",processed
"[0.23237585 0.46912253 0.46808767 0.21376947 0.4883081  0.76146823
 0.21264017 0.4857465  0.7121191  0.23502743 0.5426231  0.7150846
 0.23028779 0.5391822  0.6919061  0.35238457 0.58194923 0.83889204
 0.3481652  0.5577698  0.6804567  0.5816146  0.59256226 0.8415417
 0.5133175  0.55153334 0.1669268  0.4563188  0.47275242 0.55242264
 0.46010786 0.4722161  0.54762745 0.71505994 0.59987855 0.8264517
 0.7081341  0.5731437  0.70082325 0.8766139  0.5617337  0.1656535
 0.85868007 0.53387845 0.3370848  0.8638591  0.5747598  0.02333583
 0.8549352  0.56460524 0.0925452 ]",processed
"[0.24360667 0.45758152 0.7104241  0.22614935 0.4753279  0.8437185
 0.224068   0.47171882 0.693836   0.24367099 0.534424   0.7666003
 0.24051297 0.52561826 0.6864636  0.36762437 0.57516915 0.7256887
 0.36241797 0.54666823 0.6301833  0.59792495 0.6102696  0.84504616
 0.56392664 0.58254415 0.5296298  0.5304678  0.46222484 0.6731245
 0.5280321  0.46915624 0.4667739  0.713145   0.60632676 0.84405005
 0.70509994 0.57549196 0.6966169  0.87522984 0.55555755 0.14238687
 0.8575399  0.52284616 0.28443992 0.8606067  0.5569067  0.02156876
 0.8517738  0.53736615 0.1045298 ]",processed
"[0.22476019 0.6705666  0.53416336 0.2080389  0.67673886 0.64280003
 0.20755278 0.6739909  0.54994506 0.1977879  0.7102453  0.7131737
 0.19622533 0.70394903 0.50370455 0.25647283 0.73201233 0.574593
 0.26147747 0.72445893 0.82883406 0.39314458 0.7123703  0.57111156
 0.38291946 0.7102014  0.5615179  0.33668795 0.64313495 0.6568946
 0.33757886 0.64645207 0.56066054 0.47400564 0.74155104 0.72546375
 0.47207096 0.7356177  0.5691732  0.6436904  0.72258425 0.74734354
 0.6413348  0.721036   0.7555769  0.80328894 0.73976755 0.68037325
 0.7985786  0.7355519  0.48273394]",processed
